name,address,primary_category,type,subtype,food_tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,osm_shop,osm_amenity,brand,opening_hours,website,phone,geocode_source
Campus Police and Saftey,,Civic & Social,Emergency Services,Police Station,,42.1050227,-80.0548997,168,85,247,12008953303,node,,police,,,,,openstreetmap
Centerville Dept. 6 Fire and EMS,,Civic & Social,Emergency Services,Fire Station,,41.7355336,-79.7642623,168,85,247,1121040425,way,,fire_station,,,,,openstreetmap
Chapmanville Volunteer Fire Department,Meadville Road,Civic & Social,Emergency Services,Fire Station,,41.5939252,-79.8330505,168,85,247,639544760,way,,fire_station,,,,,openstreetmap
Cooperstown Volunteer Fire Department Station 5,"152, North Main Street, Cooperstown, PA, 16317",Civic & Social,Emergency Services,Fire Station,,41.5001806,-79.8722201,168,85,247,728922511,way,,fire_station,,,,,openstreetmap
Cranesville Fire Department,"9920, Meadville Street, Cranesville, PA, 16410",Civic & Social,Emergency Services,Fire Station,,41.907139,-80.3437765,168,85,247,9275038655,node,,fire_station,,,,,openstreetmap
Edinboro Fire Department,"125, Meadville Street, Edinboro, PA, 16412",Civic & Social,Emergency Services,Fire Station,,41.8735968,-80.1309283,168,85,247,7703578865,node,,fire_station,,,,,openstreetmap
Edinboro Police Department,"124, Meadville Street, Edinboro, PA, 16412",Civic & Social,Emergency Services,Police Station,,41.8729674,-80.132215,168,85,247,7703576402,node,,police,,,,,openstreetmap
Erie Fire Department,"3507, Peach Street, Erie, PA, 16508",Civic & Social,Emergency Services,Fire Station,,42.0994111,-80.0798504,168,85,247,459460140,node,,fire_station,,,,,openstreetmap
Erie Fire Department,"1747, West 8th Street, Erie, PA, 16505",Civic & Social,Emergency Services,Fire Station,,42.1125665,-80.1234945,168,85,247,4740855210,node,,fire_station,,,,,openstreetmap
Erie Fire Department,"832, East Avenue, Erie, PA, 16503",Civic & Social,Emergency Services,Fire Station,,42.1347282,-80.0615016,168,85,247,4740855211,node,,fire_station,,,,,openstreetmap
Erie Fire Department,"208, West 12th Street, Erie, PA, 16501",Civic & Social,Emergency Services,Fire Station,,42.1222694,-80.0856839,168,85,247,7717573686,node,,fire_station,,,,,openstreetmap
Erie Fire Department,"1937, East Lake Road, Erie, PA, 16511",Civic & Social,Emergency Services,Fire Station,,42.1453811,-80.0419916,168,85,247,8364681144,node,,fire_station,,,,,openstreetmap
Erie Fire Department,"1740, West 26th Street, Erie, PA, 16508",Civic & Social,Emergency Services,Fire Station,,42.0978231,-80.1125625,168,85,247,8532564980,node,,fire_station,,,,,openstreetmap
Erie Firehouse 13,"1027, East 28th Street, Erie, PA, 16504",Civic & Social,Emergency Services,Fire Station,,42.1187066,-80.0486786,168,85,247,809229048,way,,fire_station,,,https://efd.erie.pa.us/,,openstreetmap
Erie Police Department,"626, State Street, Erie, PA, 16501",Civic & Social,Emergency Services,Police Station,,42.1283693,-80.0855904,168,85,247,4796245990,node,,police,,,,,openstreetmap
Fairfield Fire Department,"4896, East Lake Road, Erie, PA, 16511",Civic & Social,Emergency Services,Fire Station,,42.168122,-80.0038074,168,85,247,8394583978,node,,fire_station,,,,,openstreetmap
Fairview Fire Department,"7190, West Ridge Road, Fairview, PA, 16415",Civic & Social,Emergency Services,Fire Station,,42.0377798,-80.247946,168,85,247,8264297860,node,,fire_station,,,,,openstreetmap
Fairview Fire Department,"7040, West Lake Road, Fairview, PA, 16415",Civic & Social,Emergency Services,Fire Station,,42.0542803,-80.2495118,168,85,247,9365475556,node,,fire_station,,,,,openstreetmap
Findley Lake VFD,"10372, Main Street, Findley Lake, NY, 14736",Civic & Social,Emergency Services,Fire Station,,42.119457,-79.733227,168,85,247,820005582,way,,fire_station,,,https://m.facebook.com/FindleyLakeVolunteerFireDepartment/,+1-716-769-7321,openstreetmap
Franklin Township Fire Department,,Civic & Social,Emergency Services,Fire Station,,41.9194305,-80.223741,168,85,247,629125500,way,,fire_station,,,,,openstreetmap
Fuller Fire Department,"68, South Pearl Street, North East, PA, 16428",Civic & Social,Emergency Services,Fire Station,,42.2115636,-79.8371054,168,85,247,8184918075,node,,fire_station,,,,,openstreetmap
Greenfield Township Fire Department,"10160, Station Road, North East, PA, 16428",Civic & Social,Emergency Services,Fire Station,,42.1165728,-79.860694,168,85,247,9365475807,node,,fire_station,,,,,openstreetmap
Harborcreek Fire Department,"7275, Buffalo Road, Harborcreek, PA, 16421",Civic & Social,Emergency Services,Fire Station,,42.1737439,-79.9419221,168,85,247,8062596102,node,,fire_station,,,,,openstreetmap
Hayfield Central Hose Company,,Civic & Social,Emergency Services,Fire Station,,41.712685,-80.2304691,168,85,247,5355791569,node,,fire_station,,,,,openstreetmap
Hydetown Fire Department,,Civic & Social,Emergency Services,Fire Station,,41.6505792,-79.7233451,168,85,247,614218443,way,,fire_station,,,,,openstreetmap
Kuhl Fire Department,"3131, Rescue Lane, Erie, PA, 16510",Civic & Social,Emergency Services,Fire Station,,42.0746329,-79.9841085,168,85,247,7601077638,node,,fire_station,,,,,openstreetmap
Kuhl Fire Department,"8820, Kuhl Road, Erie, PA, 16510",Civic & Social,Emergency Services,Fire Station,,42.0912525,-79.9646339,168,85,247,9484506465,node,,fire_station,,,,,openstreetmap
Lake City Fire Department,"2232, Rice Avenue, Lake City, PA, 16423",Civic & Social,Emergency Services,Fire Station,,42.0147834,-80.342156,168,85,247,8160248493,node,,fire_station,,,,,openstreetmap
Lake City Fire Department,"10157, West Lake Road, Lake City, PA, 16423",Civic & Social,Emergency Services,Fire Station,,42.0246679,-80.3466827,168,85,247,9365475956,node,,fire_station,,,,,openstreetmap
Lake City Police Department,"2350, Main Street, Lake City, PA, 16423",Civic & Social,Emergency Services,Police Station,,42.0131653,-80.342649,168,85,247,10911403066,node,,police,,,,,openstreetmap
Lake Shore Fire Department,"5310, West Lake Road, Erie, PA, 16505",Civic & Social,Emergency Services,Fire Station,,42.0772014,-80.201165,168,85,247,863866549,way,,fire_station,,,https://lakeshorefire.org/,+18148336508,openstreetmap
Lawrence Park Fire Department,"4102, Main Street, Erie, PA, 16511",Civic & Social,Emergency Services,Fire Station,,42.1511843,-80.0140334,168,85,247,7578629644,node,,fire_station,,,,,openstreetmap
Lawrence Park Police Department,"4230, Iroquois Avenue, Erie, PA, 16511",Civic & Social,Emergency Services,Police Station,,42.1524288,-80.0119461,168,85,247,7578615018,node,,police,,,,,openstreetmap
McKean Fire Department,"5011, School Street, McKean, PA, 16426",Civic & Social,Emergency Services,Fire Station,,41.9981564,-80.1415286,168,85,247,7695954190,node,,fire_station,,,,,openstreetmap
Meadville Central Fire Station,"850, Park Avenue, Meadville, PA, 16335",Civic & Social,Emergency Services,Fire Station,,41.6402592,-80.1523724,168,85,247,989209541,way,,fire_station,,,,,openstreetmap
Mill Village Fire Department,"14408, North Main Street, Mill Village, PA, 16427",Civic & Social,Emergency Services,Fire Station,,41.8800017,-79.9736928,168,85,247,9120033503,node,,fire_station,,,,,openstreetmap
Millcreek Fire Department,"3142, West 26th Street, Erie, PA, 16506",Civic & Social,Emergency Services,Fire Station,,42.0862133,-80.1436789,168,85,247,7576518397,node,,fire_station,,,,,openstreetmap
Millcreek Fire Department,"2942, West 12th Street, Erie, PA, 16505",Civic & Social,Emergency Services,Fire Station,,42.0994817,-80.147249,168,85,247,7697713707,node,,fire_station,,,,,openstreetmap
Millcreek Fire Department,"1514, Norcross Road, Erie, PA, 16510",Civic & Social,Emergency Services,Fire Station,,42.1031974,-80.0272672,168,85,247,7700084407,node,,fire_station,,,,,openstreetmap
Millcreek Fire Department,"4930, West Street, Erie, PA, 16509",Civic & Social,Emergency Services,Fire Station,,42.0773277,-80.1005567,168,85,247,7894378954,node,,fire_station,,,,,openstreetmap
Millcreek Fire Department,"4775, Sterrettania Road, Erie, PA, 16506",Civic & Social,Emergency Services,Fire Station,,42.0617045,-80.1490134,168,85,247,907050675,way,,fire_station,,,https://www.westridgefire.org/,+18148338401,openstreetmap
Millcreek Police Department,"3608, West 26th Street, Erie, PA, 16506",Civic & Social,Emergency Services,Police Station,,42.0822459,-80.1556424,168,85,247,7616969678,node,,police,,,,,openstreetmap
North East Fire Department,"36, East Main Street, North East, PA, 16428",Civic & Social,Emergency Services,Fire Station,,42.2168585,-79.8327194,168,85,247,8066198597,node,,fire_station,,,,,openstreetmap
North East Police Department,"58, East Main Street, North East, PA, 16428",Civic & Social,Emergency Services,Police Station,,42.2172612,-79.8314572,168,85,247,8078130727,node,,police,,,,,openstreetmap
Pennsylvania State Police,,Civic & Social,Emergency Services,Police Station,,41.9196099,-79.7585649,168,85,247,3739567076,node,,police,,,,,openstreetmap
Pennsylvania State Police,"4320, Iroquois Avenue, Erie, PA, 16511",Civic & Social,Emergency Services,Police Station,,42.152292,-80.0108141,168,85,247,7578601567,node,,police,,,,,openstreetmap
Pennsylvania State Police,"5950, Meadville Road, Girard, PA, 16417",Civic & Social,Emergency Services,Police Station,,41.9836539,-80.3366597,168,85,247,8672555978,node,,police,,,,,openstreetmap
Pennsylvania State Police,,Civic & Social,Emergency Services,Police Station,,41.6178591,-80.2082932,168,85,247,663398385,way,,police,,,,,openstreetmap
Pennwest Edinboro University Campus Police,"911, Scotland Road, Edinboro, PA, 16444",Civic & Social,Emergency Services,Police Station,,41.8775766,-80.118764,168,85,247,544926411,way,,police,,,,,openstreetmap
Perry Hi-Way Hose Company,"8281, Oliver Road, Erie, PA, 16509",Civic & Social,Emergency Services,Fire Station,,42.0370384,-80.0887801,168,85,247,7722556332,node,,fire_station,,,,,openstreetmap
Perry Hi-Way Hose Company,"501, East Robison Road, Erie, PA, 16509",Civic & Social,Emergency Services,Fire Station,,42.0618558,-80.0242222,168,85,247,8403343551,node,,fire_station,,,,,openstreetmap
Randolph Volunteer Fire Department,,Civic & Social,Emergency Services,Fire Station,,41.6307131,-79.9773671,168,85,247,1132775302,way,,fire_station,,,,,openstreetmap
Ripley Police Department,"1, West Main Street, Ripley, NY, 14775",Civic & Social,Emergency Services,Police Station,,42.2670184,-79.710732,168,85,247,10928964527,node,,police,,,,,openstreetmap
Saegertown Volunteer Fire Department,"601, Erie Street, Saegertown, PA, 16433",Civic & Social,Emergency Services,Fire Station,,41.7178446,-80.1431252,168,85,247,1128112927,way,,fire_station,,,,,openstreetmap
Spartansburg Dept. 22 Fire and EMS,,Civic & Social,Emergency Services,Fire Station,,41.8239021,-79.6869966,168,85,247,1121077714,way,,fire_station,,,,,openstreetmap
Springboro Volunteer Fire Department,"176, North Main Street, Springboro, PA, 16435",Civic & Social,Emergency Services,Fire Station,,41.806287,-80.3710727,168,85,247,506117635,way,,fire_station,,,,,openstreetmap
Springfield Fire Department,"11959, Main Street, East Springfield, PA, 16411",Civic & Social,Emergency Services,Fire Station,,41.9650615,-80.4063495,168,85,247,8155635437,node,,fire_station,,,,,openstreetmap
Stancliff Fire Department,"328, High Street, Waterford, PA, 16441",Civic & Social,Emergency Services,Fire Station,,41.9432004,-79.9852415,168,85,247,8075165506,node,,fire_station,,,,,openstreetmap
Station 13 Oakland VFD,"779, Speer Road",Civic & Social,Emergency Services,Fire Station,,41.5100369,-79.7786419,168,85,247,728922512,way,,fire_station,,,,,openstreetmap
Station 2 Cherrytree VFD,"1311, Cherrytree Road",Civic & Social,Emergency Services,Fire Station,,41.5740285,-79.7086695,168,85,247,728922510,way,,fire_station,,,,,openstreetmap
Townville,"33441, North Main Street, Townville, PA, 16360",Civic & Social,Emergency Services,Fire Station,,41.677651,-79.8805725,168,85,247,341897708,way,,fire_station,,,,,openstreetmap
Union City Fire Department,,Civic & Social,Emergency Services,Fire Station,,41.8966625,-79.8489165,168,85,247,1151952503,way,,fire_station,,,,,openstreetmap
Union City Police,,Civic & Social,Emergency Services,Police Station,,41.8975159,-79.8460478,168,85,247,10716246267,node,,police,,,,,openstreetmap
Vernon Central Hose Company,"16589, McMath Avenue, Meadville, PA, 16335",Civic & Social,Emergency Services,Fire Station,,41.6162393,-80.2043915,168,85,247,5355791567,node,,fire_station,,,,,openstreetmap
Vernon Township Volunteer Fire Department,"13227, Dunham Road, Meadville, PA, 16335",Civic & Social,Emergency Services,Fire Station,,41.6500875,-80.1717934,168,85,247,5355791568,node,,fire_station,,,,,openstreetmap
Vernon Twp Police Department,,Civic & Social,Emergency Services,Police Station,,41.6168654,-80.2026257,168,85,247,663427302,way,,police,,,,,openstreetmap
Wattsburg Fire Department,"14415, Main Street, Wattsburg, PA, 16442",Civic & Social,Emergency Services,Fire Station,,42.0023584,-79.8105542,168,85,247,7616855728,node,,fire_station,,,,,openstreetmap
Wesleyville Fire Department,"3421, Buffalo Road, Erie, PA, 16510",Civic & Social,Emergency Services,Fire Station,,42.1410786,-80.0125279,168,85,247,7567136376,node,,fire_station,,,,,openstreetmap
Wesleyville Police Department,"3421, Buffalo Road, Erie, PA, 16510",Civic & Social,Emergency Services,Police Station,,42.140941,-80.0126829,168,85,247,7560355065,node,,police,,,,,openstreetmap
West Lake Fire Department,"3762, West Lake Road, Erie, PA, 16505",Civic & Social,Emergency Services,Fire Station,,42.0968765,-80.1707552,168,85,247,863563024,way,,fire_station,,,https://westlakefiredepartment.com/,+18148334115,openstreetmap
West Mead #1 VFC,"20914, Alden Street, Meadville, PA, 16335",Civic & Social,Emergency Services,Fire Station,,41.6260945,-80.1208005,168,85,247,852272408,way,,fire_station,,,,,openstreetmap
West Mead #2 VFD,"20607, Ryan Road, Meadville, PA, 16335",Civic & Social,Emergency Services,Fire Station,,41.6717902,-80.1282949,168,85,247,1121063643,way,,fire_station,,,,,openstreetmap
Abiding Hope Lutheran Church,"2402, West Grandview Boulevard, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0757711,-80.1173845,168,85,247,7593001165,node,,place_of_worship,,,,,openstreetmap
Above & Beyond,"124, High Street, Waterford, PA, 16441",Civic & Social,Faith Community,Place of Worship,,41.9410564,-79.9836233,168,85,247,8075325931,node,,place_of_worship,,,,,openstreetmap
Abundant Life Christian Fellowship,"33328, North Main Street, Townville, PA, 16360",Civic & Social,Faith Community,Place of Worship,,41.6803107,-79.8827817,168,85,247,10314151984,node,,place_of_worship,,,https://www.facebook.com/pages/category/religious-organization/Abundant-Life-Christian-Fellowship-778827339183385/,+1-814-282-5389,openstreetmap
Abundant Life Church of Erie,"3952, Pine Avenue, Erie, PA, 16504",Civic & Social,Faith Community,Place of Worship,,42.1069321,-80.0460796,168,85,247,13527155118,node,,place_of_worship,,,,,openstreetmap
Abundant Life Ministries Church,"806, Parade Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1302978,-80.0757057,168,85,247,7804550339,node,,place_of_worship,,,,,openstreetmap
Adamsville Presbyterian Church,,Civic & Social,Faith Community,Place of Worship,,41.5102765,-80.3697243,168,85,247,4949398487,node,,place_of_worship,,,,,openstreetmap
Adventure Church,"2205, West 38th Street, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0824737,-80.1161615,168,85,247,7592941593,node,,place_of_worship,,,,,openstreetmap
All Saints Parish,"11264, Perry Highway, Waterford, PA, 16441",Civic & Social,Faith Community,Place of Worship,,41.9772723,-79.9957408,168,85,247,9207717543,node,,place_of_worship,,,,,openstreetmap
Antioch Missionary Baptist Church,"160, West 20th Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1157524,-80.0804922,168,85,247,8750670007,node,,place_of_worship,,,,,openstreetmap
Apostolic Church of East Erie,"1962, Buffalo Road, Erie, PA, 16510",Civic & Social,Faith Community,Place of Worship,,42.1329489,-80.0330284,168,85,247,7564055627,node,,place_of_worship,,,,,openstreetmap
Apostolic Lighthouse Chruch,,Civic & Social,Faith Community,Place of Worship,,41.6624572,-80.0856442,168,85,247,1119105014,way,,place_of_worship,,,,,openstreetmap
Arbuckle Alliance Church,"13626, Hopson Hill Road, Union City, PA, 16438",Civic & Social,Faith Community,Place of Worship,,41.9810879,-79.8618628,168,85,247,10574914622,node,,place_of_worship,,,,,openstreetmap
Asbury United Methodist Church,"4703, West Ridge Road, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.070784,-80.1823345,168,85,247,835066235,way,,place_of_worship,,,https://asburyerie.org/,+18148339053,openstreetmap
Belle Valley Presbyterian Church,"1694, Norcross Road, Erie, PA, 16510",Civic & Social,Faith Community,Place of Worship,,42.1047027,-80.0240797,168,85,247,8032929143,node,,place_of_worship,,,,,openstreetmap
Berean Baptist Church,"10854, West Ridge Road, Girard, PA, 16417",Civic & Social,Faith Community,Place of Worship,,41.9857199,-80.3647815,168,85,247,533258483,way,,place_of_worship,,,,+1 814 774 8107,openstreetmap
Bethel Apolistic Church,"229, East 16th Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1216405,-80.0740122,168,85,247,8171876467,node,,place_of_worship,,,,,openstreetmap
Bethel Assembly of God,"1414, Lake Street, Girard, PA, 16417",Civic & Social,Faith Community,Place of Worship,,42.0079028,-80.3387591,168,85,247,8319635366,node,,place_of_worship,,,,,openstreetmap
Bethel Baptist Church,"1781, West 38th Street, Erie, PA, 16508",Civic & Social,Faith Community,Place of Worship,,42.0870084,-80.1063017,168,85,247,7592842150,node,,place_of_worship,,,,,openstreetmap
Bethel Fellowship,"2232, Parade Street, Erie, PA, 16503",Civic & Social,Faith Community,Place of Worship,,42.1175992,-80.0670306,168,85,247,8172125632,node,,place_of_worship,,,,,openstreetmap
Bible Ambassadors,"2810, West 21st Street, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0933043,-80.1389879,168,85,247,9418018171,node,,place_of_worship,,,,,openstreetmap
Black Ash Church,,Civic & Social,Faith Community,Place of Worship,,41.5925563,-79.8903336,168,85,247,357277494,node,,place_of_worship,,,,,openstreetmap
Blessed Hope Seventh Day Church,"4, West 38th Street, Erie, PA, 16508",Civic & Social,Faith Community,Place of Worship,,42.102251,-80.0676702,168,85,247,7593217503,node,,place_of_worship,,,,,openstreetmap
Blessed Sacrament Catholic Church,"1626, West 26th Street, Erie, PA, 16508",Civic & Social,Faith Community,Place of Worship,,42.0991358,-80.1092941,168,85,247,8112321251,node,,place_of_worship,,,,,openstreetmap
Blooming Valley United Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.67827,-80.0488956,168,85,247,642746234,way,,place_of_worship,,,,,openstreetmap
Bradleytown Church,,Civic & Social,Faith Community,Place of Worship,,41.5614454,-79.8628336,168,85,247,357278228,node,,place_of_worship,,,,,openstreetmap
Bread of Heaven Tabernacle Church,"1020, Napier Avenue, Erie, PA, 16511",Civic & Social,Faith Community,Place of Worship,,42.148876,-80.0181208,168,85,247,832739674,way,,place_of_worship,,,,,openstreetmap
Calvary Baptist Church,"543, Randolph Street, Meadville, PA, 16335",Civic & Social,Faith Community,Place of Worship,,41.6429589,-80.1415124,168,85,247,10544449979,node,,place_of_worship,,,https://calvarymeadville.com/,,openstreetmap
Calvary Christian Center,"1061, Bartlett Road, Harborcreek, PA, 16421",Civic & Social,Faith Community,Place of Worship,,42.1750692,-79.9505996,168,85,247,8537928834,node,,place_of_worship,,,,,openstreetmap
Calvary Church,,Civic & Social,Faith Community,Place of Worship,,41.7128327,-80.398955,168,85,247,357279608,node,,place_of_worship,,,,,openstreetmap
Cathedral of Saint Paul,"134, Mario S. Bagnoni Way, Erie, PA, 16501",Civic & Social,Faith Community,Place of Worship,,42.1279999,-80.0875829,168,85,247,7707419974,node,,place_of_worship,,,,,openstreetmap
Centerville Baptist Church,,Civic & Social,Faith Community,Place of Worship,,41.7386801,-79.7634642,168,85,247,1121040430,way,,place_of_worship,,,,,openstreetmap
Centerville Free Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.7389762,-79.763888,168,85,247,1121040431,way,,place_of_worship,,,,,openstreetmap
Centerville United Methodist Church,,Civic & Social,Faith Community,Place of Worship,,41.7373309,-79.7638738,168,85,247,1121040432,way,,place_of_worship,,,,,openstreetmap
Cherry Street Church of God,"302, Cherry Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1273159,-80.1005932,168,85,247,8510559540,node,,place_of_worship,,,,,openstreetmap
Christ Deliverance Church of the Apostolic Faith,"307, East 4th Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.133578,-80.0801315,168,85,247,9814889981,node,,place_of_worship,,,,,openstreetmap
Christ Evangelical Free Church,"19682, Hill Road, Saegertown, PA, 16433",Civic & Social,Faith Community,Place of Worship,,41.7447341,-80.1298898,168,85,247,1408953156,way,,place_of_worship,,,https://christefca.com/,+1-814-763-2934,openstreetmap
Christ United Methodist Church,"2615, West 32nd Street, Erie, PA, 16506",Civic & Social,Faith Community,Place of Worship,,42.0849579,-80.1278019,168,85,247,7673958282,node,,place_of_worship,,,,,openstreetmap
Christian and Missionary Alliance,West Central Avenue,Civic & Social,Faith Community,Place of Worship,,41.6272929,-79.682239,168,85,247,639549794,way,,place_of_worship,,,,,openstreetmap
Christian and Missionary Alliance Church,,Civic & Social,Faith Community,Place of Worship,,41.8027194,-80.0545286,168,85,247,860274131,way,,place_of_worship,,,,,openstreetmap
Church of Christ Savior,"3503, Schaper Avenue, Erie, PA, 16508",Civic & Social,Faith Community,Place of Worship,,42.0875877,-80.1150788,168,85,247,8112211459,node,,place_of_worship,,,,,openstreetmap
Church of Jesus Christ In God,"1706, Poplar Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1132011,-80.0941646,168,85,247,8281233746,node,,place_of_worship,,,,,openstreetmap
Church of Mount Zion,"801, West 18th Street, Erie, PA, 16502",Civic & Social,Faith Community,Place of Worship,,42.1119621,-80.0950935,168,85,247,8231936865,node,,place_of_worship,,,,,openstreetmap
Church of the Cross,"5901, Millfair Road, Fairview, PA, 16415",Civic & Social,Faith Community,Place of Worship,,42.0357773,-80.1789981,168,85,247,8265127397,node,,place_of_worship,,,,,openstreetmap
Church of the Holy Trinity,"227, Holland Street, Erie, PA, 16507",Civic & Social,Faith Community,Place of Worship,,42.1340282,-80.0833571,168,85,247,871623920,way,,place_of_worship,,,,,openstreetmap
Community Bible Church,,Civic & Social,Faith Community,Place of Worship,,41.6591572,-79.8012557,168,85,247,10562379839,node,,place_of_worship,,,,,openstreetmap
Community Christian Church,"1911, Norcross Road, Erie, PA, 16510",Civic & Social,Faith Community,Place of Worship,,42.1049663,-80.0167641,168,85,247,9388621839,node,,place_of_worship,,,,,openstreetmap
Community United Church of Christ,"1011, West 38th Street, Erie, PA, 16508",Civic & Social,Faith Community,Place of Worship,,42.0940998,-80.0878362,168,85,247,8013255277,node,,place_of_worship,,,,,openstreetmap
Community of Christ,"14799, Harmonsburg Road, Meadville, PA, 16335",Civic & Social,Faith Community,Place of Worship,,41.6493212,-80.2396743,168,85,247,5688798268,node,,place_of_worship,,,,,openstreetmap
Conneautville Church of Christ,"1308, Main Street, Conneautville, PA, 16406",Civic & Social,Faith Community,Place of Worship,,41.7552872,-80.366889,168,85,247,506117694,way,,place_of_worship,,,https://www.conneautvillecc.org/,+1 814 587 6070,openstreetmap
Cornerstone Community Church,,Civic & Social,Faith Community,Place of Worship,,41.6518179,-79.7265606,168,85,247,1132598549,way,,place_of_worship,,,,,openstreetmap
