name,address,primary_category,type,subtype,food_tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,osm_shop,osm_amenity,brand,opening_hours,website,phone,geocode_source
Meadville Medical Center - Workplace Care,,Health,Clinic,Outpatient Clinic,,41.6212605,-80.1997994,239,68,68,10242974232,node,,clinic,,,,,openstreetmap
Meadville Medical Center Grove Street,"1034, Grove Street, Meadville, 16335",Health,Clinic,Outpatient Clinic,,41.63374,-80.1458517,239,68,68,551357530,way,,clinic,,Mo-Fr 07:00-19:00,https://www.mmchs.org/Locations/Grove-Street-Facility.aspx,+1 814 333 5810,openstreetmap
MedExpress Urgent Care,"18471, Smock Highway, Meadville, PA, 16335",Health,Clinic,Outpatient Clinic,,41.6195496,-80.1679301,239,68,68,8476154973,node,,clinic,,,,,openstreetmap
Medical Center,"600, Wesley Way, Meadville, PA, 16335",Health,Clinic,Outpatient Clinic,,41.6629727,-80.1394654,239,68,68,8766483559,node,,clinic,,,,,openstreetmap
Mercy Hilltop Center,"3715, Pennsylvania Avenue, Erie, PA, 16504",Health,Clinic,Outpatient Clinic,,42.1115836,-80.0424701,239,68,68,9027224167,node,,clinic,,,,,openstreetmap
Mercyhurst Sports Medicine Department,"West Main Drive, Erie, PA, 16546",Health,Clinic,Outpatient Clinic,,42.1051571,-80.054926,239,68,68,7985647522,node,,clinic,,,,,openstreetmap
Millcreek Animal Hospital,"4535, West Ridge Road, Erie, PA, 16506",Health,Clinic,Veterinary,,42.0733562,-80.1786932,239,68,68,8557739583,node,,veterinary,,,,,openstreetmap
Millcreek Dental Arts,"4020, Sterrettania Road, Erie, PA, 16506",Health,Clinic,Dental Office,,42.0701108,-80.1460988,239,68,68,7626174731,node,,dentist,,,,,openstreetmap
Minichelli & Moore Dentistry,"2606, Caughey Road, Erie, PA, 16506",Health,Clinic,Dental Office,,42.0811536,-80.1550663,239,68,68,9266954631,node,,dentist,,,,,openstreetmap
Modern Dental Group,"333, State Street, Erie, PA, 16507",Health,Clinic,Dental Office,,42.1321015,-80.0860702,239,68,68,7570294273,node,,dentist,,,,,openstreetmap
NeuroRestorative,"7289, West Ridge Road, Fairview, PA, 16415",Health,Clinic,Outpatient Clinic,,42.0347687,-80.2498563,239,68,68,8264191167,node,,clinic,,,,,openstreetmap
North Coast Foot & Ankle,"5473, Village Common Drive, Erie, PA, 16506",Health,Clinic,Outpatient Clinic,,42.0677987,-80.1135811,239,68,68,7567759815,node,,clinic,,,,,openstreetmap
North East Animal Hospital,"9280, West Main Street, North East, PA, 16428",Health,Clinic,Veterinary,,42.1945172,-79.8960771,239,68,68,8071407181,node,,veterinary,,,,,openstreetmap
North East Dental Arts,"90, East Main Street, North East, PA, 16428",Health,Clinic,Dental Office,,42.2178939,-79.828764,239,68,68,8187605068,node,,dentist,,,,,openstreetmap
North East Family Practice,"115, East Main Street, North East, PA, 16428",Health,Clinic,Outpatient Clinic,,42.2177272,-79.8273926,239,68,68,8187657474,node,,clinic,,,,,openstreetmap
Northwest PA Pet Emergency Center,"429, West 38th Street, Erie, PA, 16508",Health,Clinic,Veterinary,,42.0968981,-80.0787025,239,68,68,7573516702,node,,veterinary,,,,,openstreetmap
O'Leary Dental Group,"111, West Main Street, Girard, PA, 16417",Health,Clinic,Dental Office,,42.0000094,-80.3179172,239,68,68,8262802944,node,,dentist,,,,,openstreetmap
Orlando Family Dentistry,"3235, West 38th Street, Erie, PA, 16506",Health,Clinic,Dental Office,,42.0747408,-80.1398031,239,68,68,8288188525,node,,dentist,,,,,openstreetmap
Orthopaedic Solutions of Pennsylvania,"224, West 26th Street, Erie, PA, 16508",Health,Clinic,Medical Office,,42.1104639,-80.0783662,239,68,68,7850607871,node,,doctors,,,,,openstreetmap
Orthopedic Associates of Meadville,"11277, Vernon Place, Meadville, PA, 16335",Health,Clinic,Dental Office,,41.6211334,-80.1995587,239,68,68,8199346511,node,,dentist,,,,,openstreetmap
Osteopathic Cardiology Associates,"4002, Schaper Avenue, Erie, PA, 16508",Health,Clinic,Medical Office,,42.082915,-80.1130156,239,68,68,8013813500,node,,doctors,,,,,openstreetmap
Passnire Family Dentistry,"4801, Peach Street, Erie, PA, 16509",Health,Clinic,Dental Office,,42.0834545,-80.0885335,239,68,68,7573380632,node,,dentist,,,,,openstreetmap
Peach Street Dental & Dentures,"7040, Peach Street, Erie, PA, 16509",Health,Clinic,Dental Office,,42.0546558,-80.0883774,239,68,68,7571595940,node,,dentist,,,,,openstreetmap
Perfect Smile Dental,"6660, Peach Street, Erie, PA, 16509",Health,Clinic,Dental Office,,42.0568376,-80.0930953,239,68,68,7571595502,node,,dentist,,,,,openstreetmap
Pinecrest Family Practice,"3515, Pine Avenue, Erie, PA, 16504",Health,Clinic,Outpatient Clinic,,42.1098532,-80.0534891,239,68,68,7573076047,node,,clinic,,,,,openstreetmap
Pinecrest Family Practice,"3125, French Street, Erie, PA, 16504",Health,Clinic,Outpatient Clinic,,42.1077723,-80.0687048,239,68,68,10594430933,node,,clinic,,,,,openstreetmap
Pink or Blue 4D Ultrasound Studio,"2340, West Grandview Boulevard, Erie, PA, 16506",Health,Clinic,Medical Office,,42.0761065,-80.1163829,239,68,68,13149765803,node,,doctors,,,,,openstreetmap
Plaza Dental Associates,"702, West 34th Street, Erie, PA, 16508",Health,Clinic,Dental Office,,42.099704,-80.0855886,239,68,68,7578424866,node,,dentist,,Mo 07:30-19:30; Tu 07:30-19:00; We 07:30-17:00; Th 07:30-17:00; Fr 07:30-16:00,,,openstreetmap
Premier Surgical Center,"2350, Village Common Drive, Erie, PA, 16506",Health,Clinic,Medical Office,,42.0681886,-80.1113072,239,68,68,1170335380,way,,doctors,,,,,openstreetmap
Presque Isle Medical Technologies,"2440, West 8th Street, Erie, PA, 16505",Health,Clinic,Outpatient Clinic,,42.1077143,-80.1383197,239,68,68,7854771123,node,,clinic,,,,,openstreetmap
Primary Care Associates of Erie,"5035, Peach Street, Erie, PA, 16509",Health,Clinic,Outpatient Clinic,,42.0806216,-80.0896376,239,68,68,9552919772,node,,clinic,,,,,openstreetmap
Rebecca's Personal Care Home,"47, West Street, North East, PA, 16428",Health,Clinic,Medical Office,,42.2098277,-79.8449053,239,68,68,7734710447,node,,doctors,,,,,openstreetmap
Reichel Dental,"3208, State Street, Erie, PA, 16508",Health,Clinic,Dental Office,,42.1065241,-80.0705652,239,68,68,8497407810,node,,dentist,,,,,openstreetmap
Saegertown Medical Associates,,Health,Clinic,Outpatient Clinic,,41.7190559,-80.1481411,239,68,68,1094661450,way,,clinic,,,,,openstreetmap
Saint Vincent Family Medicine,"2828, Sterrettania Road, Erie, PA, 16506",Health,Clinic,Outpatient Clinic,,42.0858395,-80.1395523,239,68,68,7833191150,node,,clinic,,,,,openstreetmap
Saint Vincent Family Medicine,"2501, West 12th Street, Erie, PA, 16505",Health,Clinic,Outpatient Clinic,,42.1021208,-80.1348064,239,68,68,9573426340,node,,clinic,,,,,openstreetmap
Saint Vincent Urgent Care,"4247, West Ridge Road, Erie, PA, 16506",Health,Clinic,Outpatient Clinic,,42.0764289,-80.1708503,239,68,68,7617021958,node,,clinic,,,,,openstreetmap
Sant Ram,"2123, West 8th Street, Erie, PA, 16505",Health,Clinic,Medical Office,,42.1097964,-80.1308933,239,68,68,7973596012,node,,doctors,,,,,openstreetmap
Sarbak Family Dentist,"936, West 38th Street, Erie, PA, 16508",Health,Clinic,Dental Office,,42.095003,-80.086815,239,68,68,8342978781,node,,dentist,,,,,openstreetmap
Shoreline Primary Care,"2820, West 12th Street, Erie, PA, 16505",Health,Clinic,Medical Office,,42.100373,-80.1447598,239,68,68,7575927735,node,,doctors,,,,,openstreetmap
"Spartansburg Regional Medical Center, John Balmer, DO","132, Mechanic Street",Health,Clinic,Medical Office,,41.823397,-79.6880306,239,68,68,2527534519,node,,doctors,,,,,openstreetmap
Stairways Dental,"2922, State Street, Erie, PA, 16508",Health,Clinic,Dental Office,,42.1086758,-80.0718584,239,68,68,8497594092,node,,dentist,,,,,openstreetmap
Summit Dental Associates,"1341, West 26th Street, Erie, PA, 16508",Health,Clinic,Dental Office,,42.1012897,-80.1015247,239,68,68,8528974112,node,,dentist,,,,,openstreetmap
Summit Pet Hospital & Care Center,"7091, Edinboro Road, Erie, PA, 16509",Health,Clinic,Veterinary,,42.0517308,-80.1064468,239,68,68,8290820508,node,,veterinary,,,,,openstreetmap
The ANNA Wellness Center,"5617, West Ridge Road, Erie, PA, 16506",Health,Clinic,Veterinary,,42.0622612,-80.2009321,239,68,68,8321604101,node,,veterinary,,,,,openstreetmap
The Animal Clinic,"8465, Peach Street, Erie, PA, 16509",Health,Clinic,Veterinary,,42.0398649,-80.0694295,239,68,68,7593238743,node,,veterinary,,,,,openstreetmap
Tri-State Pain Institute,"5442, Peach Street, Erie, PA, 16509",Health,Clinic,Outpatient Clinic,,42.0744115,-80.0943026,239,68,68,8957997593,node,,clinic,,,,,openstreetmap
Tucker Dental Excellence,"3736, Sterrettania Road, Erie, PA, 16506",Health,Clinic,Dental Office,,42.0743636,-80.144198,239,68,68,7593418334,node,,dentist,,,,,openstreetmap
Twinbrook Veterinary Hospital,"5065, Buffalo Road, Erie, PA, 16510",Health,Clinic,Veterinary,,42.1532976,-79.9863142,239,68,68,7573201370,node,,veterinary,,,,,openstreetmap
UPMC Children's Community Pediatrics,"902, West Erie Plaza Drive, Erie, PA, 16505",Health,Clinic,Outpatient Clinic,,42.1073626,-80.1345108,239,68,68,12504552254,node,,clinic,,,,,openstreetmap
UPMC Health Plan,"380, East Bayfront Parkway, Erie, PA, 16507",Health,Clinic,Outpatient Clinic,,42.1386463,-80.0804981,239,68,68,8753646600,node,,clinic,,,,,openstreetmap
UPMC Home Healthcare,"244, Erie Central Mall, Erie, PA, 16501",Health,Clinic,Outpatient Clinic,,42.1189345,-80.0811016,239,68,68,7570030584,node,,clinic,,,,,openstreetmap
UPMC Medical Center,"1330, West 26th Street, Erie, PA, 16508",Health,Clinic,Outpatient Clinic,,42.1019215,-80.1023988,239,68,68,8228475066,node,,clinic,,,,,openstreetmap
UPMC Outpatient Center,"5241, Buffalo Road, Erie, PA, 16510",Health,Clinic,Outpatient Clinic,,42.1553811,-79.9818734,239,68,68,7600774808,node,,clinic,,,,,openstreetmap
UPMC Outpatient Center,"3330, Peach Street, Erie, PA, 16508",Health,Clinic,Outpatient Clinic,,42.1024896,-80.0794299,239,68,68,7731737110,node,,clinic,,,,,openstreetmap
UPMC Outpatient Center,"215, Holland Street, Erie, PA, 16507",Health,Clinic,Outpatient Clinic,,42.1344639,-80.0833026,239,68,68,8118644713,node,,clinic,,,,,openstreetmap
UPMC Outpatient Center,"7287, West Ridge Road, Fairview, PA, 16415",Health,Clinic,Outpatient Clinic,,42.0360804,-80.2482662,239,68,68,8158336088,node,,clinic,,,,,openstreetmap
