zcta,county_name,area_name
16326,Clarion,Fryburg
16327,Venango,Guys Mills
16328,Crawford,Hydetown
16329,Warren,Irvine
16331,Clarion,Kossuth
16332,Clarion,Lickingville
16333,McKean,Ludlow
16334,Clarion,Marble
16335,Crawford,Meadville
16340,Warren,Pittsfield
16341,Venango,Pleasantville
16342,Venango,Polk
16343,Venango,Reno
16344,Venango,Rouseville
16345,Warren,Russell
16346,Venango,Seneca
16347,Elk,Sheffield
16350,Warren,Sugar Grove
16351,Forest,Tidioute
16352,Warren,Tiona
16353,Clarion,Tionesta
16354,Venango,Titusville
16360,Crawford,Townville
16361,Clarion,Tylersburg
16362,Venango,Utica
16364,Clarion,Venus
16365,McKean,Warren
16370,Forest,West Hickory
16371,Warren,Youngsville
16372,Venango,Clintonville
16373,Clarion,Emlenton
16374,Venango,Kennerdell
16401,Crawford,Albion
16402,Warren,Bear Lake
16403,Crawford,Cambridge Springs
16404,Crawford,Centerville
16405,Warren,Columbus
16406,Crawford,Conneautville
16407,Crawford,Corry
16410,Erie,Cranesville
16411,Erie,East Springfield
16412,Crawford,Edinboro
16415,Erie,Fairview
16416,Warren,Garland
16417,Erie,Girard
16420,Venango,Grand Valley
16421,Erie,Lake City
16422,Crawford,Harmonsburg
16423,Erie,Lowville/Wattsburg
16424,Crawford,Linesville
16426,Erie,McKean
16427,Erie,Mill Village
16428,Erie,North East
16430,Erie,Platea
16433,Crawford,Saegertown
16434,Crawford,Spartansburg
16435,Crawford,Springboro
16436,Warren,Spring Creek
16438,Crawford,Union City
16440,Crawford,Venango
16441,Crawford,Waterford
16442,Erie,Wattsburg
16443,Erie,West Springfield
16444,Erie,Edinboro
16475,Erie,Albion
16501,Erie,Erie Downtown
16502,Erie,Erie West
16503,Erie,Erie East
16504,Erie,Erie South East
16505,Erie,Erie Frontier/West
16506,Erie,Erie Millcreek/West
16507,Erie,Erie Downtown
16508,Erie,Erie South Central
16509,Erie,Erie Millcreek/South
16510,Erie,Erie Harborcreek
16511,Erie,Erie Lawrence Park
16546,Erie,Erie
16550,Erie,Erie
16563,Erie,Erie Penn State Behrend
16616,Clearfield,Beccaria
16620,Clearfield,Brisbin
16627,Clearfield,Coalport
16639,Clearfield,Fallentimber
16640,Clearfield,Flinton
16645,Clearfield,Glen Hope
16646,Clearfield,Hastings
16651,Clearfield,Houtzdale
16656,Clearfield,Irvona
16661,Clearfield,Madera
16666,Clearfield,Osceola Mills
16668,Clearfield,Patton
16671,Clearfield,Ramey
16680,Clearfield,Smithmill
16686,Clearfield,Tyrone
16692,Clearfield,Westover
16701,McKean,Bradford
16720,Cameron,Austin
16724,McKean,Crosby
16725,McKean,Custer City
16726,McKean,Cyclone
16727,McKean,Derrick City
16729,McKean,Duke Center
16730,McKean,East Smethport
16731,McKean,Eldred
16732,McKean,Gifford
16733,McKean,Hazel Hurst
16734,Elk,James City
16735,Elk,Kane
16738,McKean,Lewis Run
16740,Elk,Mount Jewett
16743,McKean,Port Allegany
16744,McKean,Rew
16745,McKean,Rixford
16746,McKean,Roulette
16748,McKean,Shinglehouse
16749,Cameron,Smethport
16750,McKean,Turtlepoint
16821,Clearfield,Allport
16825,Clearfield,Bigler
16830,Clearfield,Clearfield
16833,Clearfield,Curwensville
16834,Clearfield,Drifting
16836,Clearfield,Frenchville
16837,Clearfield,Glen Richey
16838,Clearfield,Grampian
16839,Clearfield,Grassflat
16840,Clearfield,Hawk Run
16843,Clearfield,Hyde
16845,Clearfield,Karthaus
16847,Clearfield,Kylertown
16849,Clearfield,Lanse
16855,Clearfield,Mineral Springs
16858,Clearfield,Morrisdale
16859,Clearfield,Moshannon
16860,Clearfield,Munson
16861,Clearfield,New Millport
16863,Clearfield,Olanta
16866,Clearfield,Philipsburg
16871,Clearfield,Pottersdale
16876,Clearfield,Wallaceton
16878,Clearfield,West Decatur
16879,Clearfield,Winburne
16881,Clearfield,Woodland
17764,Cameron,Renovo
17778,Clearfield,Westport
