GEOID,year,snap_participation_rate
42049002400,2020,26.8
42049002500,2020,39.3
42049002600,2020,16.2
42049002700,2020,16.7
42049002800,2020,5.0
42049002900,2020,5.4
42049003000,2020,22.3
42049010101,2020,9.3
42049010103,2020,16.4
42049010104,2020,9.8
42049010107,2020,21.8
42049010108,2020,0.0
42049010201,2020,19.8
42049010202,2020,13.0
42049010301,2020,10.4
42049010303,2020,12.3
42049010304,2020,7.3
42049010400,2020,6.2
42049010500,2020,8.9
42049010700,2020,11.1
42049010800,2020,13.9
42049010902,2020,9.8
42049010903,2020,6.5
42049010904,2020,1.7
42049011001,2020,7.5
42049011002,2020,14.5
42049011101,2020,12.4
42049011102,2020,3.8
42049011201,2020,10.1
42049011202,2020,7.8
42049011300,2020,22.8
42049011400,2020,17.0
42049011503,2020,10.9
42049011508,2020,8.3
42049011509,2020,4.3
42049011510,2020,5.8
42049011511,2020,0.0
42049011600,2020,19.5
42049011701,2020,8.9
42049011702,2020,15.9
42049011801,2020,12.8
42049011802,2020,10.0
42049011900,2020,30.6
42049012001,2020,12.7
42049012002,2020,24.2
42049012100,2020,11.8
42049012201,2020,15.2
42049012202,2020,8.0
42049012400,2020,15.5
42049990000,2020,
42053530100,2020,19.5
42053530200,2020,15.7
42065950100,2020,20.4
42065950200,2020,9.4
42065950300,2020,13.1
42065950400,2020,9.3
42065950500,2020,23.5
42065950600,2020,11.1
42065950700,2020,30.2
42065950800,2020,14.0
42065950900,2020,10.3
42065951000,2020,9.6
42065951100,2020,10.6
42065951200,2020,29.2
42065951300,2020,21.9
42083420100,2020,9.9
42083420200,2020,49.8
42083420300,2020,32.0
42083420500,2020,22.5
42083420600,2020,11.4
42083420700,2020,16.7
42083420800,2020,10.2
42083420900,2020,20.5
42083421000,2020,9.7
42083421100,2020,23.6
42083421200,2020,8.3
42083420400,2020,9.5
42121200000,2020,10.7
42121200100,2020,17.4
42121200201,2020,14.4
42121200202,2020,5.3
42121200300,2020,22.1
42121200400,2020,32.1
42121200500,2020,22.4
42121200600,2020,15.7
42121200700,2020,51.5
42121200800,2020,15.8
42121200900,2020,24.5
42121201000,2020,23.2
42121201100,2020,15.1
42121201200,2020,15.6
42121201300,2020,22.8
42121201400,2020,13.2
42121201500,2020,12.2
42123970100,2020,13.9
42123970200,2020,4.4
42123970300,2020,10.1
42123970400,2020,11.5
42123970500,2020,14.6
42123970600,2020,14.3
42123970700,2020,2.7
42123970800,2020,22.5
42123970900,2020,26.8
42123971000,2020,3.3
42123971100,2020,8.1
42123971200,2020,11.4
42123971400,2020,18.1
42023960100,2021,36.0
42023960200,2021,15.0
42031160101,2021,12.8
42031160103,2021,20.8
42031160104,2021,12.9
42031160201,2021,8.4
42031160202,2021,5.6
42031160300,2021,11.1
42031160400,2021,22.1
42031160500,2021,16.5
42031160600,2021,22.7
42031160701,2021,21.1
42031160702,2021,18.7
42031160800,2021,13.7
42031160900,2021,14.2
42033330100,2021,21.5
42033330200,2021,16.0
42033330300,2021,22.2
42033330400,2021,9.6
42033330500,2021,14.0
42033330600,2021,22.6
42033330700,2021,19.6
42033330800,2021,15.0
42033330900,2021,25.3
42033331000,2021,22.3
42033331100,2021,29.3
42033331200,2021,22.1
42033331300,2021,26.0
42033331401,2021,15.3
42033331402,2021,19.5
42033331500,2021,16.6
42033331600,2021,22.1
42033331700,2021,19.1
42033331800,2021,19.0
42033331900,2021,22.5
42039110100,2021,18.3
42039110201,2021,9.0
42039110202,2021,18.7
42039110300,2021,17.9
42039110400,2021,16.3
42039110501,2021,13.9
42039110502,2021,8.6
42039110600,2021,8.9
42039110700,2021,12.2
42039110800,2021,9.7
42039110900,2021,14.6
42039111000,2021,19.9
42039111100,2021,33.9
42039111200,2021,26.1
42039111300,2021,8.8
42039111400,2021,19.8
42039111500,2021,28.7
42039111600,2021,48.9
42039111700,2021,10.7
42039111800,2021,14.6
42039111900,2021,12.1
42039112001,2021,15.3
42039112002,2021,17.2
42047950100,2021,8.7
42047950200,2021,9.7
42047950400,2021,20.2
42047950500,2021,18.5
42047950900,2021,11.1
42047951000,2021,10.6
42047951100,2021,17.8
42047951200,2021,12.4
42047951300,2021,12.9
42049000100,2021,71.3
42049000200,2021,9.6
42049000300,2021,35.5
42049000400,2021,43.2
42049000500,2021,43.0
42049000600,2021,39.9
42049000700,2021,50.3
42049000800,2021,55.9
42049000901,2021,12.8
42049000902,2021,35.1
42049001000,2021,30.3
42049001100,2021,24.9
42049001200,2021,50.7
42049001300,2021,76.5
42049001400,2021,58.0
42049001500,2021,66.3
42049001600,2021,20.4
42049001700,2021,41.5
42049001800,2021,64.2
42049001900,2021,39.0
42049002000,2021,16.6
42049002100,2021,13.4
42049002200,2021,15.2
42049002300,2021,26.3
42049002400,2021,24.3
42049002500,2021,41.9
42049002600,2021,22.9
42049002700,2021,17.0
42049002800,2021,8.4
42049002900,2021,4.3
42049003000,2021,20.8
42049010101,2021,9.6
42049010103,2021,15.0
42049010104,2021,7.8
42049010107,2021,21.9
42049010108,2021,
42049010201,2021,17.6
42049010202,2021,17.8
42049010301,2021,9.6
42049010303,2021,11.4
42049010304,2021,7.6
42049010400,2021,8.3
42049010500,2021,10.8
42049010700,2021,6.3
42049010800,2021,15.3
42049010902,2021,13.0
42049010903,2021,6.9
42049010904,2021,0.5
42049011001,2021,9.5
42049011002,2021,13.1
42049011101,2021,16.7
42049011102,2021,10.5
42049011201,2021,10.8
42049011202,2021,9.0
42049011300,2021,25.1
42049011400,2021,16.7
42049011503,2021,10.4
42049011508,2021,5.5
42049011509,2021,8.3
42049011510,2021,6.4
42049011511,2021,5.5
42049011600,2021,21.5
42049011701,2021,10.0
42049011702,2021,16.0
42049011801,2021,15.0
42049011802,2021,10.8
42049011900,2021,30.3
42049012001,2021,12.4
42049012002,2021,28.6
42049012100,2021,11.7
42049012201,2021,15.8
42049012202,2021,10.2
42049012400,2021,15.4
42049990000,2021,
42053530100,2021,20.0
42053530200,2021,13.9
42065950100,2021,18.0
42065950200,2021,10.5
42065950300,2021,11.9
42065950400,2021,12.8
42065950500,2021,23.2
42065950600,2021,12.4
42065950700,2021,27.2
42065950800,2021,14.3
42065950900,2021,10.4
42065951000,2021,9.2
42065951100,2021,10.6
42065951200,2021,31.7
42065951300,2021,15.3
42083420100,2021,8.2
42083420200,2021,48.8
42083420300,2021,33.4
42083420400,2021,10.5
42083420500,2021,18.7
42083420600,2021,11.7
42083420700,2021,18.9
42083420800,2021,11.2
42083420900,2021,16.6
42083421000,2021,10.2
42083421100,2021,22.4
42083421200,2021,6.7
42121200000,2021,10.7
42121200100,2021,17.1
42121200201,2021,12.8
42121200202,2021,4.6
42121200300,2021,28.4
42121200400,2021,26.9
42121200500,2021,14.2
42121200600,2021,14.6
42121200700,2021,51.1
42121200800,2021,16.2
42121200900,2021,31.7
42121201000,2021,27.2
42121201100,2021,14.6
42121201200,2021,16.5
42121201300,2021,20.8
42121201400,2021,11.7
42121201500,2021,12.4
42123970100,2021,11.5
42123970200,2021,6.1
42123970300,2021,7.7
42123970400,2021,9.6
42123970500,2021,14.3
42123970600,2021,15.0
42123970700,2021,5.2
42123970800,2021,21.4
42123970900,2021,25.1
42123971000,2021,3.4
42123971100,2021,9.0
42123971200,2021,12.3
42123971400,2021,20.1
42023960100,2022,32.6
42023960200,2022,18.2
42031160101,2022,7.4
42031160103,2022,20.8
42031160104,2022,11.5
42031160201,2022,7.2
42031160202,2022,4.8
42031160300,2022,13.0
42031160400,2022,21.3
42031160500,2022,16.5
42031160600,2022,27.3
42031160701,2022,21.0
42031160702,2022,22.5
42031160800,2022,13.0
42031160900,2022,13.1
42033330100,2022,22.5
42033330200,2022,15.6
42033330300,2022,19.3
42033330400,2022,12.6
42033330500,2022,16.7
42033330600,2022,26.3
42033330700,2022,19.5
42033330800,2022,13.7
42033330900,2022,25.0
42033331000,2022,20.8
42033331100,2022,31.0
42033331200,2022,27.7
42033331300,2022,27.5
42033331401,2022,14.3
42033331402,2022,21.4
42033331500,2022,17.9
42033331600,2022,22.2
42033331700,2022,17.7
42033331800,2022,18.3
42033331900,2022,24.1
42039110100,2022,17.3
42039110201,2022,9.7
42039110202,2022,17.0
42039110300,2022,19.6
42039110400,2022,14.9
42039110501,2022,15.5
42039110502,2022,8.6
42039110600,2022,8.4
42039110700,2022,13.2
42039110800,2022,10.7
42039110900,2022,15.2
42039111000,2022,16.0
42039111100,2022,34.9
42039111200,2022,28.2
42039111300,2022,10.8
42039111400,2022,18.9
42039111500,2022,26.7
42039111600,2022,46.9
42039111700,2022,7.6
42039111800,2022,13.6
42039111900,2022,12.5
42039112001,2022,16.5
42039112002,2022,16.6
42047950100,2022,9.9
42047950200,2022,8.9
42047950400,2022,25.7
42047950500,2022,15.4
42047950900,2022,11.6
42047951000,2022,9.9
42047951100,2022,20.7
42047951200,2022,11.6
42047951300,2022,11.7
42049000100,2022,66.6
42049000200,2022,9.3
42049000300,2022,35.1
42049000400,2022,44.7
42049000500,2022,41.7
42049000600,2022,31.8
42049000700,2022,45.9
42049000800,2022,59.5
42049000901,2022,18.9
42049000902,2022,34.5
42049001000,2022,32.3
42049001100,2022,32.8
42049001200,2022,46.8
42049001300,2022,69.3
42049001400,2022,56.7
42049001500,2022,64.6
42049001600,2022,17.4
42049001700,2022,53.8
42049001800,2022,64.1
42049001900,2022,44.4
42049002000,2022,19.8
42049002100,2022,12.1
42049002200,2022,17.7
42049002300,2022,26.0
42049002400,2022,21.6
42049002500,2022,50.3
42049002600,2022,25.1
42049002700,2022,18.0
42049002800,2022,6.3
42049002900,2022,3.4
42049003000,2022,20.2
42049010101,2022,12.5
42049010103,2022,11.6
42049010104,2022,6.7
42049010107,2022,23.2
42049010108,2022,
42049010201,2022,15.8
42049010202,2022,13.3
42049010301,2022,11.6
42049010303,2022,10.2
42049010304,2022,8.0
42049010400,2022,11.6
42049010500,2022,6.9
42049010700,2022,5.5
42049010800,2022,17.5
42049010902,2022,10.7
42049010903,2022,6.4
42049010904,2022,0.9
42049011001,2022,10.4
42049011002,2022,14.1
42049011101,2022,23.0
42049011102,2022,10.9
42049011201,2022,12.0
42049011202,2022,9.0
42049011300,2022,27.3
42049011400,2022,18.0
42049011503,2022,11.9
42049011508,2022,6.4
42049011509,2022,8.4
42049011510,2022,6.0
42049011511,2022,6.8
42049011600,2022,22.3
42049011701,2022,8.4
42049011702,2022,17.6
42049011801,2022,15.5
42049011802,2022,10.8
42049011900,2022,24.4
42049012001,2022,12.5
42049012002,2022,27.5
42049012100,2022,11.3
42049012201,2022,15.6
42049012202,2022,13.1
42049012400,2022,12.6
42049990000,2022,
42053530100,2022,16.9
42053530200,2022,15.3
42065950100,2022,15.1
42065950200,2022,9.3
42065950300,2022,13.0
42065950400,2022,9.3
42065950500,2022,25.4
42065950600,2022,13.2
42065950700,2022,25.6
42065950800,2022,13.0
42065950900,2022,8.9
42065951000,2022,11.9
42065951100,2022,12.0
42065951200,2022,29.3
42065951300,2022,13.3
42083420100,2022,7.2
42083420200,2022,50.2
42083420300,2022,35.4
42083420400,2022,8.8
42083420500,2022,20.4
42083420600,2022,11.5
42083420700,2022,20.5
42083420800,2022,12.1
42083420900,2022,14.9
42083421000,2022,9.5
42083421100,2022,17.8
42083421200,2022,8.0
42121200000,2022,11.2
42121200100,2022,16.8
42121200201,2022,12.6
42121200202,2022,3.9
42121200300,2022,27.1
42121200400,2022,26.1
42121200500,2022,20.0
42121200600,2022,18.9
42121200700,2022,52.3
42121200800,2022,19.1
42121200900,2022,25.6
42121201000,2022,31.7
42121201100,2022,15.9
42121201200,2022,20.1
42121201300,2022,23.6
42121201400,2022,12.1
42121201500,2022,12.8
42123970100,2022,15.1
42123970200,2022,7.7
42123970300,2022,8.8
42123970400,2022,11.6
42123970500,2022,13.7
42123970600,2022,15.4
42123970700,2022,10.4
42123970800,2022,16.2
42123970900,2022,20.5
42123971000,2022,4.5
42123971100,2022,9.2
42123971200,2022,17.1
42123971400,2022,21.3
42023960100,2023,37.0
42023960200,2023,18.4
42031160101,2023,4.9
42031160103,2023,22.1
42031160104,2023,11.5
42031160201,2023,8.1
42031160202,2023,4.8
42031160300,2023,13.2
42031160400,2023,21.0
42031160500,2023,16.6
42031160600,2023,27.3
42031160701,2023,25.0
42031160702,2023,20.2
42031160800,2023,12.5
42031160900,2023,13.4
42033330100,2023,21.6
42033330200,2023,12.9
42033330300,2023,21.3
42033330400,2023,14.2
42033330500,2023,18.7
42033330600,2023,27.4
42033330700,2023,18.8
42033330800,2023,12.3
42033330900,2023,26.0
42033331000,2023,21.9
42033331100,2023,29.7
42033331200,2023,23.9
42033331300,2023,25.3
42033331401,2023,15.3
42033331402,2023,22.2
42033331500,2023,15.9
42033331600,2023,18.9
42033331700,2023,17.7
42033331800,2023,17.9
42033331900,2023,21.6
42039110100,2023,18.1
42039110201,2023,10.4
42039110202,2023,17.5
42039110300,2023,20.9
42039110400,2023,16.5
42039110501,2023,20.4
42039110502,2023,6.8
42039110600,2023,10.5
42039110700,2023,13.2
42039110800,2023,12.9
42039110900,2023,16.4
42039111000,2023,18.8
42039111100,2023,35.7
42039111200,2023,32.9
42039111300,2023,12.8
42039111400,2023,16.2
42039111500,2023,26.1
42039111600,2023,45.8
42039111700,2023,11.0
42039111800,2023,14.8
42039111900,2023,13.6
42039112001,2023,17.5
42039112002,2023,14.2
42047950100,2023,10.4
42047950200,2023,8.6
42047950400,2023,25.3
42047950500,2023,18.7
42047950900,2023,10.5
42047951000,2023,11.7
42047951100,2023,22.5
42047951200,2023,14.4
42047951300,2023,11.4
42049000100,2023,68.6
42049000200,2023,9.5
42049000300,2023,33.0
42049000400,2023,47.8
42049000500,2023,42.8
42049000600,2023,26.9
42049000700,2023,55.3
42049000800,2023,52.3
42049000901,2023,15.7
42049000902,2023,39.7
42049001000,2023,27.1
42049001100,2023,40.3
42049001200,2023,46.5
42049001300,2023,72.3
42049001400,2023,60.1
42049001500,2023,71.0
42049001600,2023,18.4
42049001700,2023,45.1
42049001800,2023,70.9
42049001900,2023,51.6
42049002000,2023,26.6
42049002100,2023,12.6
42049002200,2023,19.8
42049002300,2023,26.8
42049002400,2023,24.2
42049002500,2023,45.9
42049002600,2023,22.4
42049002700,2023,16.2
42049002800,2023,9.3
42049002900,2023,5.8
42049003000,2023,28.8
42049010101,2023,12.9
42049010103,2023,11.8
42049010104,2023,9.5
42049010107,2023,23.5
42049010108,2023,
42049010201,2023,13.6
42049010202,2023,11.1
42049010301,2023,8.2
42049010303,2023,8.1
42049010304,2023,7.0
42049010400,2023,11.9
42049010500,2023,11.6
42049010700,2023,4.5
42049010800,2023,20.2
42049010902,2023,14.0
42049010903,2023,6.6
42049010904,2023,0.9
42049011001,2023,10.7
42049011002,2023,11.6
42049011101,2023,19.9
42049011102,2023,13.5
42049011201,2023,11.7
42049011202,2023,5.1
42049011300,2023,25.8
42049011400,2023,16.9
42049011503,2023,10.6
42049011508,2023,5.9
42049011509,2023,13.1
42049011510,2023,8.1
42049011511,2023,12.7
42049011600,2023,24.2
42049011701,2023,12.6
42049011702,2023,20.1
42049011801,2023,14.7
42049011802,2023,13.3
42049011900,2023,27.8
42049012001,2023,13.9
42049012002,2023,32.1
42049012100,2023,12.3
42049012201,2023,16.1
42049012202,2023,12.7
42049012400,2023,10.6
42049990000,2023,
42053530100,2023,16.8
42053530200,2023,15.4
42065950100,2023,11.8
42065950200,2023,8.6
42065950300,2023,13.3
42065950400,2023,12.2
42065950500,2023,21.8
42065950600,2023,14.0
42065950700,2023,27.4
42065950800,2023,16.1
42065950900,2023,8.9
42065951000,2023,14.5
42065951100,2023,12.6
42065951200,2023,27.7
42065951300,2023,20.3
42083420100,2023,7.9
42083420200,2023,38.2
42083420300,2023,40.5
42083420400,2023,10.3
42083420500,2023,15.9
42083420600,2023,13.6
42083420700,2023,23.6
42083420800,2023,11.5
42083420900,2023,15.2
42083421000,2023,9.5
42083421100,2023,17.7
42083421200,2023,11.0
42121200000,2023,12.6
42121200100,2023,15.7
42121200201,2023,11.3
42121200202,2023,3.3
42121200300,2023,26.2
42121200400,2023,36.0
42121200500,2023,17.4
42121200600,2023,14.8
42121200700,2023,54.1
42121200800,2023,18.3
42121200900,2023,32.9
42121201000,2023,31.5
42121201100,2023,17.4
42121201200,2023,16.3
42121201300,2023,19.6
42121201400,2023,13.2
42121201500,2023,13.3
42123970100,2023,14.3
42123970200,2023,8.1
42123970300,2023,9.0
42123970400,2023,15.7
42123970500,2023,14.0
42123970600,2023,11.1
42123970700,2023,9.5
42123970800,2023,17.3
42123970900,2023,21.8
42123971000,2023,3.8
42123971100,2023,9.7
42123971200,2023,17.5
42123971400,2023,24.4
