GEOID,county_fips,county_name,tract_code,tract_name,year,median_household_income,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,other_race,race_total,snap_participation_rate
42033330800,033,Clearfield County,330800,"Census Tract 3308, Clearfield County, Pennsylvania",2020,53912.0,10.7,10.3,7.2,4.0,6900,47.3,97.9,0.0,1.7,0.0,0.4,6758,0,116,0,26,6900,16.8
42033330900,033,Clearfield County,330900,"Census Tract 3309, Clearfield County, Pennsylvania",2020,43519.0,21.3,7.0,12.9,7.7,6756,47.3,73.6,8.0,14.2,2.1,2.1,4974,541,956,140,145,6756,25.8
42033331000,033,Clearfield County,331000,"Census Tract 3310, Clearfield County, Pennsylvania",2020,51995.0,17.1,10.5,14.3,7.3,5032,44.8,93.7,0.1,5.2,0.1,0.9,4714,4,264,4,46,5032,24.3
42033331100,033,Clearfield County,331100,"Census Tract 3311, Clearfield County, Pennsylvania",2020,40338.0,24.1,10.8,27.2,22.3,2977,42.1,98.9,0.1,0.0,0.2,0.8,2943,2,1,5,26,2977,31.6
42033331200,033,Clearfield County,331200,"Census Tract 3312, Clearfield County, Pennsylvania",2020,55474.0,17.1,14.8,29.4,10.7,2901,39.1,96.8,0.2,1.8,0.7,0.5,2808,5,51,20,17,2901,18.7
42033331300,033,Clearfield County,331300,"Census Tract 3313, Clearfield County, Pennsylvania",2020,53205.0,14.5,11.9,20.8,7.8,4490,42.9,98.6,0.2,0.8,0.4,0.0,4427,8,34,20,1,4490,22.3
42033331401,033,Clearfield County,331401,"Census Tract 3314.01, Clearfield County, Pennsylvania",2020,52721.0,13.8,12.3,38.1,4.1,3341,47.0,96.6,0.1,3.1,0.1,0.1,3226,5,103,2,5,3341,14.2
42033331402,033,Clearfield County,331402,"Census Tract 3314.02, Clearfield County, Pennsylvania",2020,45183.0,12.8,14.4,17.9,6.9,3381,45.8,94.7,1.2,0.1,0.2,3.8,3202,40,4,6,129,3381,20.5
42033331500,033,Clearfield County,331500,"Census Tract 3315, Clearfield County, Pennsylvania",2020,44231.0,14.6,6.1,3.5,5.2,1992,47.1,94.6,0.0,3.1,0.6,1.7,1884,0,61,11,36,1992,18.0
42033331600,033,Clearfield County,331600,"Census Tract 3316, Clearfield County, Pennsylvania",2020,42357.0,17.3,6.5,30.4,7.6,2296,50.3,97.3,0.1,0.3,0.7,1.6,2235,2,7,16,36,2296,22.6
42033331700,033,Clearfield County,331700,"Census Tract 3317, Clearfield County, Pennsylvania",2020,52000.0,10.7,5.9,9.7,6.5,6831,42.8,74.6,16.6,4.7,0.5,3.6,5094,1133,322,32,250,6831,18.3
42033331800,033,Clearfield County,331800,"Census Tract 3318, Clearfield County, Pennsylvania",2020,44719.0,14.7,7.4,11.7,6.2,2854,44.9,94.4,0.3,0.9,0.0,4.4,2693,9,26,0,126,2854,17.5
42033331900,033,Clearfield County,331900,"Census Tract 3319, Clearfield County, Pennsylvania",2020,43393.0,18.5,8.0,1.4,8.7,2244,44.7,97.5,0.0,2.1,0.0,0.4,2187,0,47,1,9,2244,23.9
42039110100,039,Crawford County,110100,"Census Tract 1101, Crawford County, Pennsylvania",2020,45847.0,22.7,8.1,21.0,16.3,6181,33.3,97.7,0.6,0.6,0.1,1.0,6041,38,36,8,58,6181,19.4
42039110201,039,Crawford County,110201,"Census Tract 1102.01, Crawford County, Pennsylvania",2020,61518.0,5.1,17.0,2.1,3.0,3783,44.2,96.4,0.6,1.5,0.0,1.5,3645,22,58,0,58,3783,9.7
42039110202,039,Crawford County,110202,"Census Tract 1102.02, Crawford County, Pennsylvania",2020,54191.0,13.4,13.1,11.0,6.5,4589,37.3,89.0,4.4,3.5,0.8,2.3,4085,201,160,38,105,4589,17.6
42039110300,039,Crawford County,110300,"Census Tract 1103, Crawford County, Pennsylvania",2020,50890.0,15.7,9.4,18.7,9.7,4360,43.3,96.4,1.0,0.9,0.1,1.6,4203,44,40,5,68,4360,18.0
42039110400,039,Crawford County,110400,"Census Tract 1104, Crawford County, Pennsylvania",2020,47431.0,13.2,12.4,14.8,6.7,2731,44.5,96.3,0.0,1.6,0.3,1.8,2631,0,45,7,48,2731,14.7
42039110501,039,Crawford County,110501,"Census Tract 1105.01, Crawford County, Pennsylvania",2020,67083.0,7.3,13.6,20.6,6.9,2223,37.5,96.7,0.0,2.2,0.6,0.5,2149,0,50,13,11,2223,12.1
42039110502,039,Crawford County,110502,"Census Tract 1105.02, Crawford County, Pennsylvania",2020,58599.0,9.2,17.6,20.6,4.1,3172,49.3,98.8,0.1,0.8,0.0,0.3,3134,4,24,0,10,3172,12.9
42039110600,039,Crawford County,110600,"Census Tract 1106, Crawford County, Pennsylvania",2020,63261.0,4.3,14.0,15.6,4.2,2834,48.4,95.6,0.0,1.1,0.2,3.1,2710,0,31,5,88,2834,9.5
42039110700,039,Crawford County,110700,"Census Tract 1107, Crawford County, Pennsylvania",2020,53906.0,7.2,14.7,2.0,8.0,4052,42.7,95.8,0.8,1.3,0.3,1.8,3880,33,51,13,75,4052,10.8
42039110800,039,Crawford County,110800,"Census Tract 1108, Crawford County, Pennsylvania",2020,60743.0,10.4,12.8,11.2,4.5,4652,45.8,96.6,0.7,0.9,0.5,1.3,4493,33,42,22,62,4652,8.9
42039110900,039,Crawford County,110900,"Census Tract 1109, Crawford County, Pennsylvania",2020,55905.0,10.4,11.5,6.5,2.3,3046,50.3,89.2,0.6,0.8,0.0,9.4,2718,17,24,1,286,3046,13.2
42039111000,039,Crawford County,111000,"Census Tract 1110, Crawford County, Pennsylvania",2020,48260.0,22.3,7.7,18.0,5.9,2669,42.1,96.7,1.2,1.2,0.2,0.7,2581,33,31,6,18,2669,18.4
42039111100,039,Crawford County,111100,"Census Tract 1111, Crawford County, Pennsylvania",2020,33889.0,27.0,6.3,13.1,21.0,2992,44.6,95.4,2.4,1.2,0.7,0.3,2855,73,37,21,6,2992,32.8
42039111200,039,Crawford County,111200,"Census Tract 1112, Crawford County, Pennsylvania",2020,42200.0,20.2,12.6,10.7,11.0,2208,36.5,97.6,0.5,1.0,1.0,-0.1,2155,10,22,21,0,2208,24.8
42039111300,039,Crawford County,111300,"Census Tract 1113, Crawford County, Pennsylvania",2020,58614.0,7.6,12.6,8.9,2.9,5412,44.1,96.0,0.7,0.6,0.3,2.4,5194,36,33,16,133,5412,10.1
42039111400,039,Crawford County,111400,"Census Tract 1114, Crawford County, Pennsylvania",2020,60806.0,13.5,21.0,12.6,7.6,4638,42.3,96.5,0.7,1.7,0.3,0.8,4477,31,81,16,33,4638,22.0
42039111500,039,Crawford County,111500,"Census Tract 1115, Crawford County, Pennsylvania",2020,48613.0,13.1,12.6,16.0,15.3,5226,41.7,88.7,5.5,1.1,0.1,4.6,4637,287,60,5,237,5226,23.5
42039111600,039,Crawford County,111600,"Census Tract 1116, Crawford County, Pennsylvania",2020,23266.0,31.4,8.6,27.1,38.1,3326,39.3,88.7,2.4,1.8,0.3,6.8,2949,80,59,11,227,3326,51.6
42039111700,039,Crawford County,111700,"Census Tract 1117, Crawford County, Pennsylvania",2020,55842.0,7.5,23.1,11.9,7.6,4529,28.3,82.9,6.4,4.2,1.7,4.8,3756,290,191,79,213,4529,10.0
42039111800,039,Crawford County,111800,"Census Tract 1118, Crawford County, Pennsylvania",2020,59192.0,1.7,12.8,12.9,2.3,5398,52.9,95.6,0.0,0.4,2.2,1.8,5160,0,23,118,97,5398,6.6
42039111900,039,Crawford County,111900,"Census Tract 1119, Crawford County, Pennsylvania",2020,55725.0,11.5,5.6,17.2,16.1,3341,38.4,98.3,0.0,0.3,0.1,1.3,3284,0,9,3,45,3341,11.3
42039112001,039,Crawford County,112001,"Census Tract 1120.01, Crawford County, Pennsylvania",2020,48792.0,7.7,9.8,10.5,2.7,2425,53.4,96.9,0.0,1.8,0.2,1.1,2351,0,43,5,26,2425,14.5
42039112002,039,Crawford County,112002,"Census Tract 1120.02, Crawford County, Pennsylvania",2020,45759.0,6.1,10.4,34.3,2.2,1287,60.7,98.1,0.0,0.5,0.0,1.4,1263,0,6,0,18,1287,12.7
42047950100,047,Elk County,950100,"Census Tract 9501, Elk County, Pennsylvania",2020,56058.0,11.5,14.2,31.6,2.1,1434,48.4,95.5,0.0,0.0,0.6,3.9,1369,0,0,9,56,1434,8.5
42047950200,047,Elk County,950200,"Census Tract 9502, Elk County, Pennsylvania",2020,60598.0,8.1,9.3,17.6,3.2,3076,50.9,95.1,0.5,4.0,0.2,0.2,2924,16,123,5,8,3076,8.9
42047950400,047,Elk County,950400,"Census Tract 9504, Elk County, Pennsylvania",2020,43768.0,20.0,17.9,20.0,10.9,3781,40.1,94.7,2.2,0.9,0.0,2.2,3579,84,35,0,83,3781,23.5
42047950500,047,Elk County,950500,"Census Tract 9505, Elk County, Pennsylvania",2020,44928.0,11.7,10.1,4.9,8.1,2304,43.4,95.7,1.2,1.1,0.0,2.0,2205,28,26,0,45,2304,13.7
42047950900,047,Elk County,950900,"Census Tract 9509, Elk County, Pennsylvania",2020,56048.0,7.9,11.4,18.3,3.8,2392,48.7,98.9,0.0,0.0,0.8,0.3,2366,0,0,18,8,2392,9.8
42047951000,047,Elk County,951000,"Census Tract 9510, Elk County, Pennsylvania",2020,66566.0,4.8,9.9,0.0,1.3,4757,48.6,97.7,0.7,0.0,1.5,0.1,4649,35,0,72,1,4757,8.6
42047951100,047,Elk County,951100,"Census Tract 9511, Elk County, Pennsylvania",2020,52747.0,8.4,12.6,13.5,12.9,5261,52.8,96.1,0.1,1.2,0.4,2.2,5057,7,61,19,117,5261,17.3
42047951200,047,Elk County,951200,"Census Tract 9512, Elk County, Pennsylvania",2020,47989.0,8.2,14.6,20.8,8.4,1934,50.4,98.8,0.0,0.0,0.9,0.3,1910,0,0,18,6,1934,14.7
42047951300,047,Elk County,951300,"Census Tract 9513, Elk County, Pennsylvania",2020,61264.0,10.3,16.0,11.7,4.4,5138,45.3,99.4,0.3,0.2,0.0,0.1,5105,16,8,0,9,5138,8.0
42049000100,049,Erie County,000100,"Census Tract 1, Erie County, Pennsylvania",2020,11757.0,67.9,8.5,18.2,66.1,1276,59.9,66.3,23.8,7.4,0.0,2.5,846,304,94,0,32,1276,68.3
42049000200,049,Erie County,000200,"Census Tract 2, Erie County, Pennsylvania",2020,62917.0,7.3,26.8,20.2,9.8,3649,53.4,88.5,2.7,3.5,3.4,1.9,3230,98,127,124,70,3649,9.5
42049000300,049,Erie County,000300,"Census Tract 3, Erie County, Pennsylvania",2020,37018.0,26.4,9.6,12.1,19.2,3154,28.8,68.3,13.0,4.9,2.0,11.8,2153,411,155,63,372,3154,27.1
42049000400,049,Erie County,000400,"Census Tract 4, Erie County, Pennsylvania",2020,38992.0,24.6,18.2,20.7,24.9,2250,36.3,54.1,14.5,8.9,6.4,16.1,1217,327,200,145,361,2250,43.8
42049000500,049,Erie County,000500,"Census Tract 5, Erie County, Pennsylvania",2020,28949.0,38.3,5.9,40.3,23.2,3406,29.2,45.5,34.9,18.0,1.1,0.5,1550,1187,612,39,18,3406,51.7
42049000600,049,Erie County,000600,"Census Tract 6, Erie County, Pennsylvania",2020,28250.0,35.1,13.4,27.8,18.7,3141,28.6,51.6,22.8,17.9,2.2,5.5,1621,717,561,68,174,3141,46.9
42049000700,049,Erie County,000700,"Census Tract 7, Erie County, Pennsylvania",2020,23590.0,33.7,7.5,37.4,40.0,2036,36.0,49.5,30.8,14.2,2.3,3.2,1007,628,290,46,65,2036,50.1
42049000800,049,Erie County,000800,"Census Tract 8, Erie County, Pennsylvania",2020,20934.0,46.5,5.2,26.6,40.3,1938,37.9,41.6,27.4,18.6,10.0,2.4,806,531,361,194,46,1938,57.0
42049000901,049,Erie County,000901,"Census Tract 9.01, Erie County, Pennsylvania",2020,26631.0,22.7,22.2,33.3,17.2,2563,43.8,70.2,19.5,8.0,0.0,2.3,1799,499,206,0,59,2563,19.7
42049000902,049,Erie County,000902,"Census Tract 9.02, Erie County, Pennsylvania",2020,19400.0,60.2,14.5,50.5,32.4,2519,24.7,84.3,5.4,4.0,1.7,4.6,2124,135,100,43,117,2519,38.0
42049001000,049,Erie County,001000,"Census Tract 10, Erie County, Pennsylvania",2020,35313.0,31.3,21.5,23.4,17.7,3102,29.5,74.4,7.1,8.8,0.3,9.4,2308,220,272,8,294,3102,29.2
42049001100,049,Erie County,001100,"Census Tract 11, Erie County, Pennsylvania",2020,43611.0,31.1,14.9,23.6,11.8,2662,38.0,71.0,2.1,18.6,0.4,7.9,1889,55,496,11,211,2662,25.5
42049001200,049,Erie County,001200,"Census Tract 12, Erie County, Pennsylvania",2020,20039.0,44.2,6.6,40.5,23.2,2502,42.2,49.1,27.9,4.5,5.4,13.1,1228,697,112,135,330,2502,53.1
42049001300,049,Erie County,001300,"Census Tract 13, Erie County, Pennsylvania",2020,23041.0,56.1,5.1,43.5,34.1,1688,23.7,38.2,38.4,21.3,0.0,2.1,645,648,359,0,36,1688,69.2
42049001400,049,Erie County,001400,"Census Tract 14, Erie County, Pennsylvania",2020,20603.0,49.3,9.1,41.9,54.2,2620,34.1,50.2,28.5,6.6,7.1,7.6,1314,748,173,187,198,2620,51.6
42049001500,049,Erie County,001500,"Census Tract 15, Erie County, Pennsylvania",2020,24247.0,36.6,17.9,14.2,40.5,3047,22.1,23.3,41.4,16.7,8.0,10.6,709,1261,508,244,325,3047,71.9
42049001600,049,Erie County,001600,"Census Tract 16, Erie County, Pennsylvania",2020,42552.0,26.7,10.8,27.8,10.2,4313,37.2,65.4,17.1,11.2,3.0,3.3,2822,736,482,129,144,4313,15.7
42049001700,049,Erie County,001700,"Census Tract 17, Erie County, Pennsylvania",2020,41004.0,19.5,3.4,21.2,25.2,2726,29.6,48.9,29.9,8.4,4.5,8.3,1334,815,229,123,225,2726,45.5
42049001800,049,Erie County,001800,"Census Tract 18, Erie County, Pennsylvania",2020,25394.0,38.1,4.9,39.2,27.9,2013,24.5,39.4,38.5,14.9,1.5,5.7,794,774,300,31,114,2013,61.2
42049001900,049,Erie County,001900,"Census Tract 19, Erie County, Pennsylvania",2020,19976.0,34.2,6.5,26.5,49.5,1596,57.3,81.1,15.1,3.3,0.0,0.5,1294,241,53,0,8,1596,35.1
42049002000,049,Erie County,002000,"Census Tract 20, Erie County, Pennsylvania",2020,50926.0,22.4,12.3,29.5,11.6,3722,33.7,69.5,5.6,13.6,3.1,8.2,2588,209,508,117,300,3722,17.0
42049002100,049,Erie County,002100,"Census Tract 21, Erie County, Pennsylvania",2020,58125.0,9.4,26.3,28.9,5.2,3959,41.3,88.3,6.9,3.7,0.3,0.8,3496,272,146,11,34,3959,13.5
42049002200,049,Erie County,002200,"Census Tract 22, Erie County, Pennsylvania",2020,67528.0,6.0,16.3,14.1,6.9,4036,35.3,86.3,2.9,1.5,0.0,9.3,3484,119,60,1,372,4036,13.0
42049002300,049,Erie County,002300,"Census Tract 23, Erie County, Pennsylvania",2020,36534.0,13.3,11.6,21.3,11.3,2454,39.3,84.4,7.0,1.9,2.4,4.3,2071,173,47,59,104,2454,24.7
42049002400,049,Erie County,002400,"Census Tract 24, Erie County, Pennsylvania",2020,47532.0,13.4,16.3,23.3,13.7,2979,32.4,76.4,2.7,11.5,0.9,8.5,2276,79,344,27,253,2979,26.8
42049002500,049,Erie County,002500,"Census Tract 25, Erie County, Pennsylvania",2020,35724.0,31.0,17.6,37.1,17.1,2612,30.9,59.6,26.1,1.9,0.7,11.7,1557,681,49,19,306,2612,39.3
42049002600,049,Erie County,002600,"Census Tract 26, Erie County, Pennsylvania",2020,46571.0,28.0,14.9,21.2,6.6,4119,39.3,73.9,14.5,2.8,7.1,1.7,3043,598,116,292,70,4119,16.2
42049002700,049,Erie County,002700,"Census Tract 27, Erie County, Pennsylvania",2020,45720.0,9.8,13.2,12.9,9.0,6568,37.8,76.6,9.6,12.2,0.4,1.2,5034,632,804,29,69,6568,16.7
42049002800,049,Erie County,002800,"Census Tract 28, Erie County, Pennsylvania",2020,47275.0,18.7,22.5,28.2,10.1,6805,29.8,91.6,4.2,0.9,2.9,0.4,6235,289,61,197,23,6805,5.0
42049002900,049,Erie County,002900,"Census Tract 29, Erie County, Pennsylvania",2020,77738.0,2.6,27.0,8.1,5.1,2888,48.5,95.8,2.3,0.3,0.6,1.0,2766,67,10,17,28,2888,5.4
42049003000,049,Erie County,003000,"Census Tract 30, Erie County, Pennsylvania",2020,43789.0,17.8,18.5,19.0,7.2,4273,34.2,77.2,7.7,1.4,9.0,4.7,3298,331,58,385,201,4273,22.3
42049010101,049,Erie County,010101,"Census Tract 101.01, Erie County, Pennsylvania",2020,70189.0,11.0,11.3,23.1,2.1,3294,44.9,92.8,0.5,0.7,0.8,5.2,3057,15,24,25,173,3294,9.3
42049010103,049,Erie County,010103,"Census Tract 101.03, Erie County, Pennsylvania",2020,62500.0,10.6,10.7,31.7,5.3,1914,47.9,97.0,0.0,1.7,0.0,1.3,1857,0,33,0,24,1914,16.4
42049010104,049,Erie County,010104,"Census Tract 101.04, Erie County, Pennsylvania",2020,67813.0,9.6,16.4,17.5,1.5,2459,46.7,94.6,1.6,1.7,0.4,1.7,2327,40,43,10,39,2459,9.8
42049010107,049,Erie County,010107,"Census Tract 101.07, Erie County, Pennsylvania",2020,41750.0,11.7,9.0,23.9,10.3,1342,46.5,94.4,1.3,2.4,1.0,0.9,1267,17,32,13,13,1342,21.8
42049010108,049,Erie County,010108,"Census Tract 101.08, Erie County, Pennsylvania",2020,,0.0,1.7,0.0,0.0,2455,39.8,46.4,46.8,5.4,0.0,1.4,1139,1149,133,0,34,2455,0.0
42049010201,049,Erie County,010201,"Census Tract 102.01, Erie County, Pennsylvania",2020,60387.0,10.8,14.3,19.2,4.3,5901,38.8,86.2,1.9,8.9,0.0,3.0,5084,114,523,0,180,5901,19.8
42049010202,049,Erie County,010202,"Census Tract 102.02, Erie County, Pennsylvania",2020,58200.0,11.3,24.5,19.8,1.9,5280,47.7,97.5,0.0,2.0,0.0,0.5,5148,0,104,0,28,5280,13.0
42049010301,049,Erie County,010301,"Census Tract 103.01, Erie County, Pennsylvania",2020,70735.0,8.6,18.1,7.3,6.3,4807,43.0,94.7,0.4,0.4,0.0,4.5,4551,17,17,0,222,4807,10.4
42049010303,049,Erie County,010303,"Census Tract 103.03, Erie County, Pennsylvania",2020,89800.0,4.6,21.8,44.4,7.4,5300,44.2,92.7,1.0,3.2,0.4,2.7,4914,51,172,21,142,5300,12.3
42049010304,049,Erie County,010304,"Census Tract 103.04, Erie County, Pennsylvania",2020,97159.0,2.1,25.9,0.0,5.1,4782,42.5,95.4,0.5,2.4,0.4,1.3,4564,23,113,18,64,4782,7.3
42049010400,049,Erie County,010400,"Census Tract 104, Erie County, Pennsylvania",2020,65693.0,10.8,29.8,29.6,2.6,4809,49.3,96.5,0.0,0.3,1.2,2.0,4643,0,15,57,94,4809,6.2
42049010500,049,Erie County,010500,"Census Tract 105, Erie County, Pennsylvania",2020,54489.0,15.1,19.9,34.3,9.6,3370,52.2,94.5,5.0,0.0,0.5,0.0,3183,169,0,18,0,3370,8.9
42049010700,049,Erie County,010700,"Census Tract 107, Erie County, Pennsylvania",2020,57447.0,5.5,21.9,17.0,5.1,4120,37.5,86.2,5.6,1.5,1.4,5.3,3550,229,60,56,225,4120,11.1
42049010800,049,Erie County,010800,"Census Tract 108, Erie County, Pennsylvania",2020,61296.0,10.3,17.2,15.4,3.2,3173,45.8,95.8,0.0,2.9,0.6,0.7,3041,0,92,19,21,3173,13.9
42049010902,049,Erie County,010902,"Census Tract 109.02, Erie County, Pennsylvania",2020,61926.0,7.3,25.8,28.1,8.8,3969,49.7,93.1,1.6,1.2,1.7,2.4,3695,62,48,66,98,3969,9.8
42049010903,049,Erie County,010903,"Census Tract 109.03, Erie County, Pennsylvania",2020,75882.0,4.6,23.6,35.6,5.5,6898,39.9,95.1,1.7,1.6,0.8,0.8,6561,117,109,54,57,6898,6.5
42049010904,049,Erie County,010904,"Census Tract 109.04, Erie County, Pennsylvania",2020,131607.0,2.6,29.7,7.0,0.0,5481,46.8,93.8,1.0,0.7,3.2,1.3,5141,54,41,173,72,5481,1.7
42049011001,049,Erie County,011001,"Census Tract 110.01, Erie County, Pennsylvania",2020,58490.0,8.0,33.5,13.9,6.4,6552,43.1,86.4,3.9,1.7,3.9,4.1,5663,258,112,256,263,6552,7.5
42049011002,049,Erie County,011002,"Census Tract 110.02, Erie County, Pennsylvania",2020,48550.0,12.8,27.5,30.8,15.4,4443,40.6,86.1,1.3,2.6,6.3,3.7,3824,57,116,278,168,4443,14.5
42049011101,049,Erie County,011101,"Census Tract 111.01, Erie County, Pennsylvania",2020,73313.0,5.6,22.3,13.7,2.6,5373,37.8,94.6,1.7,1.2,0.7,1.8,5083,94,67,36,93,5373,12.4
42049011102,049,Erie County,011102,"Census Tract 111.02, Erie County, Pennsylvania",2020,67083.0,5.4,30.9,26.6,8.4,3236,37.8,83.3,8.6,3.9,3.2,1.0,2697,277,125,103,34,3236,3.8
42049011201,049,Erie County,011201,"Census Tract 112.01, Erie County, Pennsylvania",2020,65446.0,22.1,15.2,44.3,2.2,4529,44.4,93.4,2.6,2.1,0.0,1.9,4228,116,95,0,90,4529,10.1
42049011202,049,Erie County,011202,"Census Tract 112.02, Erie County, Pennsylvania",2020,62917.0,4.9,17.7,11.2,1.8,7109,49.0,93.3,0.3,3.5,0.2,2.7,6633,23,252,14,187,7109,7.8
42049011300,049,Erie County,011300,"Census Tract 113, Erie County, Pennsylvania",2020,41910.0,21.6,15.8,16.3,8.4,3147,36.1,80.5,1.7,7.4,4.3,6.1,2532,54,234,134,193,3147,22.8
42049011400,049,Erie County,011400,"Census Tract 114, Erie County, Pennsylvania",2020,58105.0,16.3,19.8,32.2,7.5,3780,36.4,89.1,9.0,1.0,0.6,0.3,3369,342,38,22,9,3780,17.0
42049011503,049,Erie County,011503,"Census Tract 115.03, Erie County, Pennsylvania",2020,55391.0,6.7,19.7,11.6,12.4,4008,49.5,94.4,1.6,0.7,1.8,1.5,3782,65,27,73,61,4008,10.9
42049011508,049,Erie County,011508,"Census Tract 115.08, Erie County, Pennsylvania",2020,66060.0,5.8,20.1,17.1,6.0,5313,50.6,92.5,0.0,0.3,5.5,1.7,4916,0,16,290,91,5313,8.3
42049011509,049,Erie County,011509,"Census Tract 115.09, Erie County, Pennsylvania",2020,72604.0,13.5,19.4,2.0,6.2,2842,48.2,96.4,0.8,1.4,0.0,1.4,2739,24,39,0,40,2842,4.3
