agency_ref,agency_name,program_type,county,address,city,postal_code,lat,lon,is_pickup,geocode_source
11161,CSFP - WEST MILLCREEK FOOD PANTRY,Other,Erie,WESTMINSTER PRESBYTERIAN CHURCH 3642 WEST 26TH STREET,ERIE,16506,42.081165947346,-80.156388313637,False,census
11156,CSFP - WESTERN FOREST COUNTY FOOD PANTRY,Other,Forest,219 ELM STREET,TIONESTA,16353,41.491823275289,-79.456528414655,False,census
01657,Destinations Bradford - FP,Food Pantry,Mckean,1 MAIN STREET,BRADFORD,16701,41.955909465153,-78.651265430577,True,census
10715,Door Dash - SHFB,Food Pantry,Erie,1507 GRIMM DR,ERIE,16501,42.109986923832,-80.112965835997,False,census
01645,DuBois Area - FP,Food Pantry,Clearfield,228 FIRST STREET,DUBOIS,15801,41.130039178326,-78.757552239677,True,census
09755,DuBois Area High School - SCHOOL PANTRY ,School Pantry,Clearfield,425 ORIENT AVENUE,DUBOIS,15801,41.126566851773,-78.746928135785,False,census
01801,Duke Center United Methodist Church - FP,Food Pantry,Mckean,26 OIL VALLEY RD,DUKE CENTER,16729,41.955926084484,-78.481974374388,True,census
09753,East Middle School - SCHOOL PANTRY ,School Pantry,Erie,1001 ATKINS ST,ERIE,16503,42.137255087233,-80.062664369465,False,census
10710,Eastbrook Apartments - SHFB MOBILE,Produce Express,Erie,FOOT OF WHITLEY AVENUE INTERSECTION EAST 19TH STREET,ERIE,16511,,,False,failed
10800,Eastminster Church - SHFB MOBILE,Produce Express,Erie,2320 EAST LAKE RD,ERIE,16511,42.147384520897,-80.037784343177,False,census
01030,Edinboro Emergency - FP,Food Pantry,Erie,200 Cooper Ln FOR MAILING USE: P.O. BOX 631,EDINBORO,16412,,,True,failed
09743,Eisenhower Middle/High School - SCHOOL PANTRY ,School Pantry,Warren,3700 ROUTE 957,RUSSELL,16345,41.961716702056,-79.203845750063,False,census
09766,Elk Valley - SCHOOL PANTRY ,School Pantry,Erie,2556 MAPLE AVENUE,LAKE CITY,16423,42.010710665288,-80.345181685872,False,census
01084,Ella Cochran,Food Pantry,Erie,837 BARTLETT RD. OUR LADY OF MERCY,HARBORCREEK,16421,42.177492130444,-79.953112395608,True,census
01654,Elmwood Avenue Presbyterian Church - FP,Food Pantry,Erie,2816 ELMWOOD AVE.,ERIE,16508,42.100306808219,-80.09902715593,False,census
09792,Emerson-Gridley - SCHOOL PANTRY,School Pantry,Erie,816 NORTH PARK AVE,ERIE,16502,42.123522689388,-80.102887689391,False,census
03583,Emmanuel Church of the Nazarene - SK,Soup Kitchen,Clearfield,569 FORSYTH ROAD,DUBOIS,15801,41.102126293391,-78.717279481993,False,census
03605,Emmaus Haven of Venango - Shelter,Shelter,Venango,580 COLBERT AVE.,OIL CITY,16301,41.420152972564,-79.693624784659,False,census
01031,Emmaus Ministries - FP,Food Pantry,Erie,216 EAST 11 TH ST,ERIE,16503,42.126088578527,-80.077809745949,False,census
03032,Emmaus Ministries - SK,Soup Kitchen,Erie,218 EAST 11 STREET,ERIE,16503,42.126104879692,-80.077766135869,False,census
10086,Erie - Military Share,Produce Express,Erie,1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
09750,Erie High School - SCHOOL PANTRY ,School Pantry,Erie,3325 CHERRY ST,ERIE,16508,42.101233548878,-80.082907242241,False,census
04772,Evergreen Elm,Other,Mckean,8 ELM STREET,BRADFORD,16701,41.952912393015,-78.650609717812,False,census
09784,Fairview High School - SCHOOL PANTRY ,School Pantry,Erie,7466 McCray Road,FAIRVIEW,16415,42.019005726639,-80.246536183897,False,census
09783,Fairview Middle School  - SCHOOL PANTRY ,School Pantry,Erie,4967 Avonia Road,FAIRVIEW,16415,42.024569505753,-80.250975770307,False,census
01527,Fairview Presbyterian - FP,Food Pantry,Erie,4264 AVONIA ROAD P.O. BOX 340,FAIRVIEW,16415,42.02915371937,-80.254083673704,True,census
01802,Falls Creek Helping Hands - FP,Food Pantry,Jefferson,48 CHURCH STREET,FALLS CREEK,15840,41.145030745807,-78.797942558595,False,census
03607,Family & Community Christian Association FCCA,Soup Kitchen,Crawford,378 CHESTNUT STREET,MEADVILLE,16335,41.637206489525,-80.148762640629,False,census
06021,Federated Church - FP,Just In Time,Erie,11995 MAIN STREET,EAST SPRINGFIELD,16411,41.965023913113,-80.407403885927,False,census
01544,First Alliance Church - FP,Food Pantry,Erie,2939 ZIMMERLY ROAD,ERIE,16506,42.063016643427,-80.123789257599,True,census
01358,First Church of the Nazarene - FP,Food Pantry,Warren,907 PENNSYLVANIA AVE E,WARREN,16365-2958,41.838863804596,-79.132501061554,True,census
07008,First Lutheran Church  - FP,Just In Time,Warren,109 W. 3RD AVENUE,WARREN,16365,41.846751250554,-79.144664817826,False,census
01699,First Presbyterian Church of Clarion - FP,Food Pantry,Clarion,700 WOOD STREET,CLARION,16214,,,True,failed
01630,Food for the Soul,Food Pantry,Cameron,306 SOUTH SPRUCE STREET,EMPORIUM,15834,41.51146338191,-78.23143179388,True,census
10095,Franklin - Military Share,Produce Express,Venango,36 ELK STREET,FRANKLIN,16323,,,False,failed
07010,Free Methodist Church - FP,Just In Time,Warren,210 JAMESTOWN ST PO BOX 596,SUGAR GROVE,16350,41.986338514354,-79.333680589872,False,census
01719,Friendship Baptist Church,Food Pantry,Erie,1719 Cascade Street,Erie,16502,42.111509558608,-80.099043903096,False,census
03491,Friendship Table Inc. - SK,Soup Kitchen,Mckean,21 EAST CORYDON ST. PO BOX 1245,BRADFORD,16701,41.954781191125,-78.650710953266,True,census
01820,Gannon University,Non-Emerg. Meal/Snack,Erie,824 Peach Street,Erie,16501,42.12666496155,-80.085197491832,False,census
01676,Gathered from the Grove - FP,Food Pantry,Mckean,12 KNAPP ROAD PO BOX 292,PORT ALLEGANY,16743,,,True,failed
03025,Gaudenzia Community House - SH,Shelter,Erie,521 WEST 7TH STREET,ERIE,16502,42.124169717504,-80.095936819047,False,census
01821,GCFG - Greater Calvary Full Gospel Baptist Church FP,Food Pantry,Erie,2624 German Street,Erie,16504,42.113912046687,-80.067356381106,True,census
09782,Girard High School - SCHOOL PANTRY ,School Pantry,Erie,1135 Lake St.,GIRARD,16417,42.006415393416,-80.334083859343,False,census
01656,Glenwood Methodist Church,Food Pantry,Erie,2931 MYRTLE ST,ERIE,16508,42.106777159403,-80.077699354734,False,census
09797,Harbor Creek Jr. High School - SCHOOL PANTRY,School Pantry,Erie,6375 BUFFALO RD,HARBOR CREEK,16424,42.165611399365,-79.955763656444,False,census
04058,Harborcreek Youth Services - O.S.N.E.-YR,Youth Program,Erie,5712 IROQUOIS AVENUE,HARBORCREEK,16421,,,False,failed
01790,HEALTHY PANTRY INITIATIVE,Other,Erie,1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
01501,Heavenly Pentecostal Mission - FP,Food Pantry,Erie,1612 SASSAFRAS ST PO BOX 345,ERIE,16512,42.118592592298,-80.082711248308,False,census
01491,Helping Hand - FP,Food Pantry,Elk,409 CENTER STREET,JOHNSONBURG,15845,41.490632236453,-78.675984646032,True,census
01816,Holy Archangels Orthodox Foundation Food Pantry,Food Pantry,Warren,15485 Rt. 6,Clarendon,16313,41.820492464937,-79.111049415623,True,census
01482,Holy Trinity Lutheran - FP,Food Pantry,Erie,643 WEST 17TH STREET,ERIE,16502,42.113989042428,-80.092745697515,True,census
03495,Holy Trinity Lutheran - SK,Soup Kitchen,Erie,643 WEST 17TH STREET,ERIE,16502,42.113989042428,-80.092745697515,True,census
01690,Home House of Erie - FP,Food Pantry,Erie,1861 BUFFALO RD,ERIE,16510,42.131489959851,-80.036039586126,True,census
09757,Iroquois High School - SCHOOL PANTRY ,School Pantry,Erie,4301 MAIN STREET,ERIE,16511,42.151391411897,-80.012355632532,False,census
01782,Islamic Association of Erie - FP,Food Pantry,Erie,2419 HOLLAND ST,ERIE,16503,42.114840202224,-80.070782985875,False,census
10097,Jefferson - Military Share,Produce Express,Jefferson,1514 PA-28,BROOKVILLLE,15825,41.170245010498,-79.044038562252,False,census
03505,John F Kennedy Kids Cafe - SK,Other,Erie,2021 EAST 20TH STREET,ERIE,16510,42.133765681077,-80.032419755603,False,census
10708,John Horan Garden Apartments - SHFB MOBILE,Produce Express,Erie,730 TACOMA ROAD PLAYGROUND IS DISTRIBUTION LOCATION,ERIE,16511,42.144446450015,-80.037667614046,False,census
09781,Johnsonburg Area High School - SCHOOL PANTRY ,School Pantry,Elk,315 HIGH SCHOOL ROAD,JOHNSONBURG,15845,41.503999582987,-78.682239254057,False,census
01598,Kane Area - FP,Food Pantry,Mckean,118 HAINES STREET,KANE,16735,41.662571862326,-78.809390138086,False,census
04771,Kane Area Community Center,Youth Program,Mckean,46 FRALEY STREET,KANE,16735,41.653800751129,-78.810994644473,True,census
01071,Kearsarge Area - FP,Food Pantry,Erie,2402 WEST GRANDVIEW BLVD C/O ABIDING HOPE CHURCH,ERIE,16506,42.075992393468,-80.115739939236,True,census
01818,Keystone Rural Health Food Consortia Food Pantry,Food Pantry,Elk,49 Ridgmont Drive Suite 1,Ridgway,15853,,,True,failed
04515,Keystone Smiles Learning Center - O.S.N.E. -At Risk School,Other,Clarion,525 MAIN STREET PO BOX 352,KNOX,16232,41.235265889346,-79.537314602823,True,census
09798,Klein Elementary - SCHOOL PANTRY,School Pantry,Erie,5325 EAST LAKE RD,ERIE,16511,42.171104111105,-79.996358605367,False,census
01688,Knox Clarion County Food Distribution,Food Pantry,Clarion,260 HIGH POINT ROAD,KNOX,16232,41.188625083143,-79.544528689135,True,census
01524,Linesville Area - FP,Food Pantry,Crawford,401 SOUTH MERCER STREET,LINESVILLE,16424,41.65197146845,-80.425433857806,True,census
01594,Living Bread Ministries - FP,Food Pantry,Clearfield,628 DAISY STREET,CLEARFIELD,16830,41.028554343455,-78.42961347883,True,census
01140,Lowville - FP,Food Pantry,Erie,13427 RT 8,WATTSBURG,16442,42.024723859215,-79.822219843948,True,census
03602,Maria House Projects - SH,Other,Warren,630 HYDE ROAD,SPARTANSBURG,16434,41.836755677108,-79.578950946178,True,census
01653,Market Place- SHFB,Food Pantry,Erie,803 East Ave,Erie,16503,42.135595838132,-80.061570587472,False,census
01078,Martin Luther King Center - FP,Food Pantry,Erie,312 CHESTNUT STREET,ERIE,16507,42.129045738553,-80.095641979647,True,census
01435,McKean Area Food Pantry,Food Pantry,Erie,4950 North Main Street,McKean,16426,42.000955496418,-80.140776665187,False,census
10711,Meadville - SHFB MOBILE,Produce Express,Crawford,800 Thurston Road,MEADVILLE,16335,41.629599781688,-80.12000575979,False,census
04589,Meadville Family YMCA-Childcare,Other,Crawford,356 CHESTNUT STREET,MEADVILLE,16335,41.637372277708,-80.149561906949,False,census
12004,"Meals on Wheels, Blizzard Bags",Food Pantry,Erie,1128 STATE STREET,ERIE,16501,42.124165258431,-80.081808085337,False,census
03610,MENTAL HEALTH ASSOCIATION,Soup Kitchen,Erie,1101 Peach Street,Erie,16501,42.123960886868,-80.083225441829,True,census
01810,Mercy Anchor Community Center FP,Food Pantry,Erie,1012 E. 28th,Erie,16504,42.118675343695,-80.049600047085,True,census
03239,Mercy Center For Women - SH,Shelter,Erie,1039 EAST 27TH STREET,ERIE,16504,42.11948183177,-80.049802440436,True,census
01819,Mercy Market- Mercyhurst University,Non-Emerg. Meal/Snack,Erie,3809 BRIGGS AVE APT 6,ERIE,16546,42.107425766139,-80.052274170117,True,census
01304,MHEDS,Food Pantry,Erie,2928 PEACH STREET,ERIE,16508,42.107087638105,-80.076516030314,False,census
09796,Montessori Regional Charter School - SCHOOL PANTRY,School Pantry,Erie,2549 W 8TH ST,ERIE,16505,42.107584622393,-80.13762916316,False,census
01814,Mount Jewett Hunger Project,Food Pantry,Mckean,1 Boyd Street,McKean,16740,41.725271657314,-78.639209069544,True,census
01533,Neighborhood Watch #13 Snoops,Food Pantry,Erie,1401 WALLACE STREET,ERIE,16503,42.126022954853,-80.069265948131,False,census
01689,New Life Center - FP,Food Pantry,Clearfield,111 S. 2ND STREET,PHILIPSBURG,16866,40.895294315929,-78.220865349524,True,census
09787,North Clarion High School  - SCHOOL PANTRY ,School Pantry,Clarion,10439 ROUTE 36,TIONESTA,16353,41.395164014972,-79.355827890881,False,census
01525,North Clarion/Marienville - FP,Food Pantry,Forest,201 NORTH FOREST STREET,MARIENVILLE,16239,41.471610822483,-79.123484020974,False,census
10706,North East - SHFB MOBILE,Produce Express,Erie,10300 WEST MAIN STREET GRAVEL PIT PARK,NORTH EAST,16428,,,False,failed
09785,North East High School  - SCHOOL PANTRY ,School Pantry,Erie,1901 Freeport Road,NORTH EAST,16428,,,False,failed
09789,North East Middle School - SCHOOL PANTRY ,School Pantry,Erie,1903 FREEPORT RD,NORTH EAST,16428,42.223010035046,-79.833224107129,False,census
01082,Northwestern - FP,Food Pantry,Erie,1 ROBB & POWELL AVE,ALBION,16401,41.890050376407,-80.365496174262,True,census
09791,Northwestern High School - SCHOOL PANTRY,School Pantry,Erie,200 HARTHAN WAY,ALBION,16401,41.888896182583,-80.353783665472,False,census
01026,OIL CITY COMMUNITY SERVICES OF VENANGO,Food Pantry,Venango,203 CENTER STREET,OIL CITY,16301,41.434130574285,-79.707711708342,True,census
09744,Oil City Middle School - SCHOOL PANTRY ,School Pantry,Venango,10 LYNCH BLVD,OIL CITY,16301,41.431816843459,-79.68294405867,False,census
01473,Oil Valley - FP,Food Pantry,Crawford,11994 CHURCH RUN ROAD,TITUSVILLE,16354,41.641916060743,-79.663655330236,True,census
1001337,Order Ahead - SHFB,Other,Erie,1507 GRIMM DR,ERIE,16501,42.109986923832,-80.112965835997,True,census
07016,Otterbein Global Methodist Church - FP,Just In Time,Warren,258 DALRYMPLE STREET,PITTSFIELD,16340,41.836174265974,-79.382800174509,False,census
01294,Our Lady of Mt Carmel / St Lukes - FP,Food Pantry,Erie,1553 EAST GRANDVIEW BLVD.,ERIE,16510,42.108041882005,-80.028846581153,True,census
04472,Perseus House - Andromeda ITU-O.S.N.E.-YR,Youth Program,Erie,1510 State Street,Erie,16501,42.120979997017,-80.079674246296,True,census
04232,Perseus House - Andromeda RTF - YR,Youth Program,Erie,643  East 6th,Erie,16507,42.134622481809,-80.071083794567,True,census
04615,Perseus House - Boys Enhanced RTF - YR,Youth Program,Erie,132 WEST 26TH STREET,ERIE,16508,42.111161583733,-80.075774926602,True,census
04545,PERSEUS HOUSE - BOYS RTF-O.S.N.E.-YOUTH REHAB,Youth Program,Erie,516 WEST 7TH STREET,ERIE,16502,42.124306157485,-80.095914429966,True,census
04614,Perseus House - Brighter Horizons - YR,Youth Program,Erie,6101 WEST ROAD,MCKEAN,16426,41.998144630876,-80.169576868916,True,census
04044,PERSEUS HOUSE - Girls Enhanced RTF,Youth Program,Erie,643 EAST 6 STREET,ERIE,16507,42.134622481809,-80.071083794567,False,census
07020,Pleasantville Methodist Church - FP,Just In Time,Venango,102 MERRICK ST.,PLEASANTVILLE,16341,41.597018807595,-79.580929624768,False,census
01730,Port Allegany - FP ,Food Pantry,Mckean,65 TABER AVE.,PORT ALLEGANY,16743,41.815513770712,-78.284340034196,False,census
09795,Punxsutawney High School - SCHOOL PANTRY,School Pantry,Jefferson,500 N FINDLEY ST,PUNXSUTAWNEY,15767,40.949236943839,-78.977460077473,False,census
01475,RCCG-Redeemed Christian Church of God,Food Pantry,Erie,1654 W GORE RD,ERIE,16509,42.079573115751,-80.095493169309,True,census
01516,Redbank Valley - FP,Food Pantry,Clarion,441 BROAD STREET P.O. BOX 75,NEW BETHLEHEM,16242,41.001668856892,-79.330510497745,False,census
01564,Reynoldsville Aid Helping Hands. - FP,Food Pantry,Jefferson,329 JACKSON ST.,REYNOLDSVILLE,15851,41.097174526049,-78.890918675223,True,census
01603,Reynoldsville Area - FP,Food Pantry,Jefferson,344 E. MAIN STREET P.O. BOX 146 -- send all mail here,REYNOLDSVILLE,15851,41.097486216413,-78.889291967639,True,census
09758,Rice Avenue Middle School - SCHOOL PANTRY ,School Pantry,Erie,1100 RICE AVENUE,GIRARD,16417,42.009156587754,-80.329580231609,False,census
06084,Ridgway - FP,Just In Time,Elk,30  N BROAD STREET FireHall,RIDGWAY,15853,41.422786510008,-78.729709884242,False,census
09780,Ridgway - SCHOOL PANTRY ,School Pantry,Elk,1403 HILL STREET,RIDGWAY,15853,41.432364799951,-78.719196784062,False,census
01617,ROCKY GROVE COMMUNITY SERVICES OF VENANGO,Food Pantry,Venango,39 PARKER AVENUE,FRANKLIN,16323,41.410410047552,-79.824971372969,True,census
09799,Rolling Ridge Elementary - SCHOOL PANTRY,School Pantry,Erie,3700 RIDGE PARKWAY,ERIE,16510,42.138804668459,-79.997210825104,False,census
01167,Sacred Heart - FP,Food Pantry,Erie,816 WEST 26TH STREET,ERIE,16508,42.10561528729,-80.090866730887,True,census
03064,Safe Journey - SH,Shelter,Erie,25 WEST HIGH STREET PO BOX 208,UNION CITY,16438,41.899452282115,-79.847827381022,False,census
03161,Safenet,Shelter,Erie,1702 FRENCH ST,ERIE,16501,42.119709597393,-80.077130953935,True,census
01566,Salvation Army Bradford - FP,Food Pantry,Mckean,111 JACKSON AVE,BRADFORD,16701,41.961901063,-78.647353567403,False,census
01685,Salvation Army Corry - FP,Food Pantry,Erie,127 WEST WASHINGTON ST.,CORRY,16407,41.921725807097,-79.642859727734,True,census
03288,Salvation Army Corry - SK,Soup Kitchen,Erie,127 WEST WASHINGTON STREET,CORRY,16407,41.921725807097,-79.642859727734,True,census
01606,Salvation Army DuBois,Food Pantry,Clearfield,119 S. JARED STREET- P.O. BOX 246,DUBOIS,15801,41.119013958101,-78.765655761411,True,census
01554,Salvation Army Meadville - FP,Food Pantry,Crawford,1087 PARK AVE.,MEADVILLE,16335,41.633860483567,-80.154174887692,True,census
01490,Salvation Army Ridgway - FP,Food Pantry,Elk,245 MAIN STREET,RIDGWAY,15853,41.421888188652,-78.730108324428,True,census
01039,Salvation Army Social Services,Food Pantry,Erie,1022 LIBERTY STREET,ERIE,16502,42.118938763563,-80.099483049725,True,census
03507,Salvation Army Venango County - SK,Soup Kitchen,Venango,700 North Bell Avenue P.O. Box 742,Carnegie,15106,40.416916741896,-80.088792629197,True,census
01265,Salvation Army Warren - FP,Food Pantry,Warren,311 BEECH STREET,WARREN,16365-1816,41.844439751708,-79.158663191325,False,census
03462,SALVATION ARMY WARREN-S.K.,Soup Kitchen,Warren,311 BEECH STREET,WARREN,16365-1816,41.844439751708,-79.158663191325,False,census
01678,Scenic Rivers YMCA Clarion,Food Pantry,Clarion,499 Mayfield Road,Clarion,16214,41.190613065146,-79.384635775659,False,census
01488,Second Baptist Church - FP,Food Pantry,Erie,757 EAST 26TH STREET,ERIE,16504,42.118247451698,-80.056205875322,False,census
04782,SECOND HARVEST COOKING CLASSES,Non-Emerg. Meal/Snack,Erie,1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
09794,Seneca Highlands - SCHOOL PANTRY,School Pantry,Elk,4 Erie Ave,St. Marys,15857,41.428248036472,-78.560287551127,False,census
01811,SERENITY RESOURCE & RECOVERY,Food Pantry,Erie,18 West 9th Street,Erie,16502,42.126458273013,-80.083603085857,True,census
01659,Share-A-Care - FP,Food Pantry,Clarion,399 MAIN STREET,RIMERSBURG,16248,41.03981621785,-79.504331425543,False,census
01216,Sheffield Area - FP,Food Pantry,Warren,18 LEATHER ST,SHEFFIELD,16347,41.701999830875,-79.033102660976,False,census
09678,Sheffield Area Middle/High School - SCHOOL PANTRY ,School Pantry,Warren,6760 ROUTE 6,SHEFFIELD,16347,,,False,failed
12000,SHFB INTERNAL USAGE,Other,Erie,1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
10703,SHFB MOBILE - SHFB,Produce Express,Erie,SECOND HARVEST FOOD BANK 1507 GRIMM DRIVE,ERIE,16501,42.109986923832,-80.112965835997,False,census
10701,SHFB MOBILE FP AT ERIE WEST,Produce Express,Erie,606 WEST 2ND STREET,ERIE,16507,42.128391076302,-80.101318045932,False,census
01369,Shiloh Baptist - FP,Food Pantry,Erie,901 EAST 5 STREET,ERIE,16507,42.137777061174,-80.065913379828,False,census
01104,Sister Pascal - FP,Food Pantry,Erie,130 EAST 4TH STREET ST PATRICK CHURCH,ERIE,16507,42.132242302214,-80.084503020801,False,census
03497,Sisters of St Joseph Neighborhood Network - SK,Soup Kitchen,Erie,425 WEST 18TH STREET 453 WEST 16TH IS WHERE SK IS RUN,ERIE,16502,42.115103404038,-80.087028579746,False,census
01684,Smethport- FP Christian Community Services,Food Pantry,Mckean,210 FULTON STREET,SMETHPORT,16749,41.808761495861,-78.445551791969,False,census
01187,St Andrew Church - FP,Food Pantry,Erie,1116 WEST 7TH STREET,ERIE,16502,42.119813933401,-80.108156512447,True,census
01092,St Ann Church (at Holy Family Church) FP,Food Pantry,Erie,630 Hess,ERIE,16503,42.139220311811,-80.057372915062,True,census
01190,St Boniface Church - FP,Food Pantry,Erie,9333 TATE ROAD,ERIE,16509,42.063397197943,-79.978044855103,True,census
01442,St Elizabeth Center - FP,Food Pantry,Venango,311 EMERALD STREET,OIL CITY,16301,,,True,failed
07024,St Elizabeth of Hungary - FP,Just In Time,Mckean,307 FRANKIN ST.,SMETHPORT,16749,41.809689717909,-78.444190990413,False,census
01096,St George Church - FP,Food Pantry,Erie,5145 PEACH ST.,ERIE,16509,42.078678499476,-80.091494252235,False,census
01329,St James Church - FP,Food Pantry,Erie,2635 BUFFALO ROAD,ERIE,16510,42.137705354133,-80.020646174577,False,census
03557,St James Community - SK,Soup Kitchen,Crawford,112 E. MAIN ST.,TITUSVILLE,16354,41.628352089151,-79.673068812166,True,census
01561,St James Food Cupboard - FP,Food Pantry,Crawford,112 E. MAIN ST.,TITUSVILLE,16354,41.628352089151,-79.673068812166,False,census
01540,St John Episcopal Church - FP,Food Pantry,Venango,P.O. Box 550 1145 BUFFALO STREET,FRANKLIN,16323,41.396149454996,-79.82870965603,True,census
01512,St Johns Lutheran Church - FP,Food Pantry,Erie,2216 PEACH STREET,ERIE,16502,42.114561626325,-80.077108852551,False,census
01535,St Joseph Bread of Life Church - FP,Food Pantry,Erie,147 WEST 24TH STREET,ERIE,16502,42.112655205895,-80.07715498126,True,census
01505,St Joseph Church - FP,Food Pantry,Warren,600 PENNSYLVANIA AVENUE WEST,WARREN,16365-2204,41.845496943375,-79.15339470655,False,census
03498,St Joseph Church - SK,Soup Kitchen,Warren,600 PENNSYLVANIA AVE WEST,WARREN,16365-2204,41.845496943375,-79.15339470655,True,census
01101,St Martin Center - FP,Food Pantry,Erie,1701 PARADE STREET,ERIE,16503,42.122440672988,-80.069815082669,True,census
09788,St Marys Area High School - SCHOOL PANTRY ,School Pantry,Elk,977 S. ST MARYS ROAD,ST MARYS,15857,41.402235973143,-78.560389040187,False,census
01534,St Patrick Church - FP,Food Pantry,Venango,1436 Liberty St. ATTN: DIANE BOAL,FRANKLIN,16323,41.398408463194,-79.834806539898,False,census
01105,St Paul Roman Catholic Church - FP,Food Pantry,Erie,1617 WALNUT STREET,ERIE,16502,42.115956360048,-80.089719062623,False,census
06058,St Pauls Lutheran Church - FP,Just In Time,Crawford,25812 MT PLEASANT RD.,CAMBRIDGE SPRINGS,16403,41.832649130486,-80.079631639806,False,census
01445,St Paul's Lutheran Church- FP (Erie),Food Pantry,Erie,3108 Sterrettania Rd,Erie,16506,42.08153589209,-80.141024937752,True,census
01697,St Vincent Healthy Food Center -FP,Food Pantry,Erie,311 WEST 24TH Suite 305,ERIE,16502,42.111208124153,-80.081100004498,False,census
07025,Strattanville United Methodist Church - FP,Just In Time,Clarion,401 WASHINGTON STREET,STRATTANVILLE,16258,41.203363518959,-79.326585226717,False,census
09760,Strong Vincent Middle School - SCHOOL PANTRY ,School Pantry,Erie,1330 WEST 8TH STREET,ERIE,16502,42.116979318208,-80.112611789989,False,census
01609,Sugar Grove Free Methodist Church,Food Pantry,Warren,210 JAMESTOWN STREET P.O. BOX 596,SUGAR GROVE,16350,41.986338514354,-79.333680589872,True,census
01119,Summit Community - FP,Food Pantry,Erie,1230 TOWNHALL ROAD WEST,ERIE,16509,42.032240589576,-80.043275795329,True,census
01503,The Crossing Free Methodist Church - FP,Food Pantry,Venango,202 WILSON AVENUE,OIL CITY,16301,41.427274703384,-79.708112225751,True,census
03144,The Refuge Shelter,Shelter,Erie,1027 EAST 26 TH ST,ERIE,16504,42.120359684337,-80.050454734681,False,census
10703 - C,Thursday Group - SHFB MOBILE,Produce Express,Erie,1507 Grimm Drive,Erie,16501,42.109986923832,-80.112965835997,False,census
10704,Tidioute Fire Hall - SHFB MOBILE,Produce Express,Warren,228 MAIN STREET,TIDIOUTE,16351,41.683085921191,-79.403949131269,False,census
01604,Trinity Evangelical Lutheran Church - FP,Food Pantry,Crawford,649 PARK AVENUE,MEADVILLE,16335,41.6455717277,-80.149723442233,False,census
10703-A,Tuesday Group - SHFB MOBILE,Produce Express,Erie,1507 GRIMM DR,ERIE,16501,42.109986923832,-80.112965835997,True,census
01340,Union City - FP,Food Pantry,Erie,1 HOGAN'S Alley PO BOX 523,UNION CITY,16438-0523,,,True,failed
10702,Union City - SHFB MOBILE,Produce Express,Erie,42 E. HIGH STREET +,UNION CITY,16438,41.899684554495,-79.842047239122,False,census
01599,Union City Full Gospel Church - FP,Food Pantry,Erie,7605  ROUTE 97 44 O'DELL ST.,UNION CITY,16438,41.904579407891,-79.884315832582,True,census
03060,Unitarian Universalist SK,Soup Kitchen,Crawford,346 Chestnut St.,Meadville,16335,41.637460442432,-80.149976765819,False,census
01570,United Faith Fellowship COG - FP,Food Pantry,Crawford,561 STATE STREET PO Box 92,MEADVILLE,16335,41.640263106228,-80.143547011627,True,census
05020,Upper Room,Non-Emerg. Meal/Snack,Erie,1024 PEACH STREET,ERIE,16501,42.124690124223,-80.083884855904,True,census
01607,Victory Family Church- FP,Food Pantry,Crawford,868 WATER STREET,MEADVILLE,16335,41.640273676174,-80.154542815102,True,census
10091,Warren - Military Share,Produce Express,Warren,4060 Market Street,WARREN,16365,41.896934634165,-79.149556416996,False,census
10707,Warren - SHFB MOBILE,Produce Express,Warren,445 CONEWANGO AVENUE,WARREN,16365,41.854181861591,-79.14246171074,False,census
09746,Warren Area High School - SCHOOL PANTRY ,School Pantry,Warren,345 EAST 5TH STREET,WARREN,16365,,,False,failed
01139,Waterford - FP,Food Pantry,Erie,140 W. 6TH,WATERFORD,16441,41.946305305319,-79.983799348748,True,census
10703-B,Wednesday Group - SHFB MOBILE,Produce Express,Erie,1507 GRIMM DR,ERIE,16501,42.109986923832,-80.112965835997,True,census
01163,Wesleyville Interfaith - FP,Food Pantry,Erie,2041 STATION ROAD,ERIE,16510,42.139482676538,-80.013655946202,True,census
01687,West Branch - FP,Food Pantry,Clearfield,369 ALLPORT CUTOFF,MORRISDALE,16858,40.978100747093,-78.200875401016,True,census
01126,West Millcreek - FP ,Food Pantry,Erie,3642 WEST 26TH SRTEET WESTMINSTER PRESBYTERIAN CHURCH,ERIE,16506,,,False,failed
01551,Western Forest County - FP,Food Pantry,Forest,219 ELM STREET,TIONESTA,16353,41.491823275289,-79.456528414655,False,census
09752,Wilson Middle School - SCHOOL PANTRY ,School Pantry,Erie,718 E 28TH ST,ERIE,16504,42.116056518911,-80.056757832158,False,census
05978,Women's Care Center - Warren,Non-Emerg. Meal/Snack,Warren,203 W Third Avenue,Warren,16365,41.846569701269,-79.145876611397,True,census
05245,Women's Care Center- Downtown Office,Non-Emerg. Meal/Snack,Erie,27 West 8th,ERIE,16501,42.127268318642,-80.084288064956,False,census
05016,Womens Care Center Education Program,Non-Emerg. Meal/Snack,Erie,915 STATE STREET SUITE 200,ERIE,16501,42.126356868373,-80.083101010899,False,census
